Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
Y.KARAMOH,10,2020-2021,PARMA,1,PARMA,NAPOLI,28',0,0,0,0,0,0,2,9,0,0,3,60,2,0,0,0,0
Y.KARAMOH,10,2020-2021,PARMA,2,BOLOGNA,PARMA,82',0,0,1,1,0,1,0,35,0,1,11,73,6,1,0,0,0
Y.KARAMOH,10,2020-2021,PARMA,3,PARMA,HELLAS VERONA,65',0,0,1,0,1,1,1,25,1,1,16,94,15,1,0,0,0
Y.KARAMOH,10,2020-2021,PARMA,4,UDINESE,PARMA,97',1,0,1,1,0,1,3,40,0,0,17,81,14,2,0,0,0
Y.KARAMOH,10,2020-2021,PARMA,5,PARMA,SPEZIA,41',0,0,2,2,0,2,0,19,0,0,9,82,6,1,0,0,0
Y.KARAMOH,10,2020-2021,PARMA,7,PARMA,FIORENTINA,39',0,0,0,0,0,0,1,15,0,0,10,91,8,0,0,0,0
Y.KARAMOH,10,2020-2021,PARMA,8,ROMA,PARMA,31',0,0,1,1,0,1,0,16,0,0,11,92,9,0,0,0,0
Y.KARAMOH,10,2020-2021,PARMA,9,GENOA,PARMA,75',0,0,1,0,0,1,0,32,0,0,16,89,8,1,1,0,0
Y.KARAMOH,10,2020-2021,PARMA,10,PARMA,BENEVENTO,45',0,0,0,0,0,0,1,18,0,0,8,80,6,3,0,0,0
Y.KARAMOH,10,2020-2021,PARMA,11,MILAN,PARMA,69',0,0,2,0,0,1,0,30,0,0,9,69,6,8,0,0,0
Y.KARAMOH,10,2020-2021,PARMA,12,PARMA,CAGLIARI,76',0,0,1,0,1,0,0,34,0,0,18,95,12,1,0,0,0
Y.KARAMOH,10,2020-2021,PARMA,13,PARMA,JUVENTUS,47',0,0,0,0,0,0,0,25,0,0,11,73,8,0,0,0,0
Y.KARAMOH,10,2020-2021,PARMA,14,CROTONE,PARMA,98',0,0,3,1,1,2,1,33,0,1,16,84,12,3,0,0,0
Y.KARAMOH,10,2020-2021,PARMA,15,PARMA,TORINO,76',0,0,1,1,0,1,0,44,0,0,19,73,18,3,0,0,0
Y.KARAMOH,10,2020-2021,PARMA,16,ATALANTA,PARMA,10',0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
Y.KARAMOH,10,2020-2021,PARMA,19,PARMA,SAMPDORIA,35',0,0,1,0,0,0,0,19,0,0,9,75,7,2,0,0,0
