Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
A.BELOTTI,9,2021-2022,TORINO,1,TORINO,ATALANTA,30',1,0,1,1,0,1,3,12,0,0,3,75,1,1,0,0,0
A.BELOTTI,9,2021-2022,TORINO,2,FIORENTINA,TORINO,100',0,0,0,0,0,0,3,24,0,0,11,69,7,5,0,0,0
A.BELOTTI,9,2021-2022,TORINO,8,NAPOLI,TORINO,29',0,0,0,0,0,0,1,13,0,0,10,91,8,2,0,0,0
A.BELOTTI,9,2021-2022,TORINO,9,TORINO,GENOA,35',0,0,1,0,0,0,3,22,0,1,11,79,8,3,0,0,0
A.BELOTTI,9,2021-2022,TORINO,10,MILAN,TORINO,54',0,0,1,1,0,0,1,28,0,0,14,74,11,2,0,0,0
A.BELOTTI,9,2021-2022,TORINO,11,TORINO,SAMPDORIA,40',1,0,4,1,1,1,0,23,0,3,9,69,5,2,0,0,0
A.BELOTTI,9,2021-2022,TORINO,12,SPEZIA,TORINO,59',0,0,0,0,0,0,1,21,0,0,8,67,5,2,0,0,0
A.BELOTTI,9,2021-2022,TORINO,13,TORINO,UDINESE,83',0,0,5,1,0,1,2,40,1,0,18,82,12,3,0,0,0
A.BELOTTI,9,2021-2022,TORINO,14,ROMA,TORINO,85',0,0,3,0,0,0,3,29,0,0,13,87,11,2,0,0,0
A.BELOTTI,9,2021-2022,TORINO,25,TORINO,VENEZIA,33',0,0,3,0,0,0,0,8,0,0,2,50,1,0,0,0,0
A.BELOTTI,9,2021-2022,TORINO,26,JUVENTUS,TORINO,80',1,0,3,1,0,0,6,31,0,0,8,67,7,2,0,0,0
A.BELOTTI,9,2021-2022,TORINO,27,TORINO,CAGLIARI,82',1,0,5,3,0,0,6,49,0,0,18,64,14,3,0,0,0
A.BELOTTI,9,2021-2022,TORINO,28,BOLOGNA,TORINO,85',0,0,3,0,0,1,4,34,0,1,17,85,16,5,0,0,0
A.BELOTTI,9,2021-2022,TORINO,29,TORINO,INTER,83',0,0,4,2,0,0,1,33,0,0,13,87,11,3,0,0,0
A.BELOTTI,9,2021-2022,TORINO,30,GENOA,TORINO,95',0,0,3,1,0,2,0,21,0,2,9,60,9,0,0,0,0
A.BELOTTI,9,2021-2022,TORINO,31,SALERNITANA,TORINO,100',1,0,4,2,1,0,4,51,0,0,20,69,18,2,1,0,0
A.BELOTTI,9,2021-2022,TORINO,32,TORINO,MILAN,76',0,0,5,0,0,1,1,47,0,1,17,65,11,3,0,0,0
A.BELOTTI,9,2021-2022,TORINO,33,LAZIO,TORINO,47',0,0,1,0,0,0,1,17,0,0,7,88,3,2,0,0,0
A.BELOTTI,9,2021-2022,TORINO,35,EMPOLI,TORINO,26',3,0,4,3,0,0,0,12,0,0,1,25,2,1,0,0,0
A.BELOTTI,9,2021-2022,TORINO,36,TORINO,NAPOLI,96',0,0,4,2,0,0,2,40,0,0,10,63,8,2,0,0,0
