Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
A.DEIOLA,14,2021-2022,CAGLIARI,1,CAGLIARI,SPEZIA,65',0,0,1,1,0,1,0,27,0,0,17,71,10,0,0,0,0
A.DEIOLA,14,2021-2022,CAGLIARI,2,MILAN,CAGLIARI,87',1,0,1,1,0,1,1,41,0,0,27,87,8,4,1,0,0
A.DEIOLA,14,2021-2022,CAGLIARI,3,CAGLIARI,GENOA,97',0,0,0,0,0,0,0,64,0,0,44,86,15,5,0,0,0
A.DEIOLA,14,2021-2022,CAGLIARI,4,LAZIO,CAGLIARI,97',0,0,2,0,0,0,0,46,0,0,23,85,16,10,0,0,0
A.DEIOLA,14,2021-2022,CAGLIARI,5,CAGLIARI,EMPOLI,46',0,0,0,0,0,0,1,22,0,0,11,79,2,3,0,0,0
A.DEIOLA,14,2021-2022,CAGLIARI,6,NAPOLI,CAGLIARI,68',0,0,1,1,0,0,1,23,0,0,15,88,5,5,0,0,0
A.DEIOLA,14,2021-2022,CAGLIARI,7,CAGLIARI,VENEZIA,73',0,0,2,2,0,0,1,26,0,0,15,100,8,3,0,0,0
A.DEIOLA,14,2021-2022,CAGLIARI,8,CAGLIARI,SAMPDORIA,87',0,0,1,0,0,0,1,33,0,0,17,74,10,1,1,0,0
A.DEIOLA,14,2021-2022,CAGLIARI,9,FIORENTINA,CAGLIARI,60',0,0,0,0,0,0,2,24,0,0,11,79,1,6,0,0,0
A.DEIOLA,14,2021-2022,CAGLIARI,10,CAGLIARI,ROMA,84',0,0,0,0,0,0,1,23,0,0,13,81,8,2,0,0,0
A.DEIOLA,14,2021-2022,CAGLIARI,11,BOLOGNA,CAGLIARI,69',0,0,0,0,0,0,0,35,0,0,22,79,10,2,0,0,0
A.DEIOLA,14,2021-2022,CAGLIARI,12,CAGLIARI,ATALANTA,46',0,0,0,0,0,0,0,24,0,0,14,88,5,2,0,0,0
A.DEIOLA,14,2021-2022,CAGLIARI,13,SASSUOLO,CAGLIARI,16',0,0,1,0,0,0,0,8,0,0,3,60,2,0,0,0,0
A.DEIOLA,14,2021-2022,CAGLIARI,14,CAGLIARI,SALERNITANA,15',0,0,0,0,0,0,0,5,0,0,4,80,1,1,0,0,0
A.DEIOLA,14,2021-2022,CAGLIARI,17,INTER,CAGLIARI,83',0,0,1,1,0,0,1,37,0,0,24,77,9,7,1,0,0
A.DEIOLA,14,2021-2022,CAGLIARI,18,CAGLIARI,UDINESE,20',0,0,0,0,0,0,0,8,0,0,4,80,2,2,0,0,0
A.DEIOLA,14,2021-2022,CAGLIARI,19,JUVENTUS,CAGLIARI,71',0,0,0,0,0,0,1,29,0,0,14,74,4,3,0,0,0
A.DEIOLA,14,2021-2022,CAGLIARI,20,SAMPDORIA,CAGLIARI,75',1,0,3,2,0,0,2,48,0,0,25,78,12,0,0,0,0
A.DEIOLA,14,2021-2022,CAGLIARI,21,CAGLIARI,BOLOGNA,64',0,0,1,0,0,0,4,34,0,0,22,96,12,2,1,0,0
A.DEIOLA,14,2021-2022,CAGLIARI,22,ROMA,CAGLIARI,99',0,0,1,0,0,0,1,60,0,0,39,83,24,12,0,0,0
A.DEIOLA,14,2021-2022,CAGLIARI,24,ATALANTA,CAGLIARI,91',0,0,0,0,0,0,1,46,0,0,27,79,5,7,1,0,0
A.DEIOLA,14,2021-2022,CAGLIARI,26,CAGLIARI,NAPOLI,99',0,0,2,1,0,1,1,51,1,0,30,79,18,7,0,0,0
A.DEIOLA,14,2021-2022,CAGLIARI,27,TORINO,CAGLIARI,99',1,0,3,1,0,0,3,43,0,0,13,57,6,9,0,0,0
A.DEIOLA,14,2021-2022,CAGLIARI,28,CAGLIARI,LAZIO,59',0,0,0,0,0,1,0,35,0,1,19,73,8,6,0,0,0
A.DEIOLA,14,2021-2022,CAGLIARI,29,SPEZIA,CAGLIARI,65',0,0,1,0,0,1,0,32,0,1,15,71,2,2,0,0,0
A.DEIOLA,14,2021-2022,CAGLIARI,30,CAGLIARI,MILAN,26',0,0,1,0,0,1,0,14,0,1,7,70,5,1,0,0,0
A.DEIOLA,14,2021-2022,CAGLIARI,31,UDINESE,CAGLIARI,56',0,0,0,0,0,0,0,35,0,0,17,77,5,5,0,0,0
A.DEIOLA,14,2021-2022,CAGLIARI,32,CAGLIARI,JUVENTUS,81',0,0,0,0,0,0,0,43,0,0,20,63,8,8,0,0,0
A.DEIOLA,14,2021-2022,CAGLIARI,33,CAGLIARI,SASSUOLO,73',1,0,2,2,0,1,0,39,0,1,15,71,10,5,0,0,0
A.DEIOLA,14,2021-2022,CAGLIARI,34,GENOA,CAGLIARI,95',0,0,0,0,0,1,0,37,0,1,14,58,4,4,0,0,0
A.DEIOLA,14,2021-2022,CAGLIARI,35,CAGLIARI,HELLAS VERONA,46',0,0,1,1,0,1,0,22,0,1,10,59,7,4,0,0,0
A.DEIOLA,14,2021-2022,CAGLIARI,36,SALERNITANA,CAGLIARI,72',0,0,0,0,0,1,1,24,0,1,15,88,6,4,0,0,0
A.DEIOLA,14,2021-2022,CAGLIARI,38,VENEZIA,CAGLIARI,61',0,0,1,0,0,0,0,36,0,0,22,81,18,4,0,0,0
