Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
A.MIRANCHUK,59,2021-2022,ATALANTA,1,TORINO,ATALANTA,39',0,0,0,0,0,0,1,18,0,0,10,77,7,2,0,0,0
A.MIRANCHUK,59,2021-2022,ATALANTA,2,ATALANTA,BOLOGNA,22',0,0,0,0,0,0,0,18,0,0,7,70,3,0,0,0,0
A.MIRANCHUK,59,2021-2022,ATALANTA,3,ATALANTA,FIORENTINA,54',0,0,0,0,0,0,1,27,0,0,10,77,9,2,0,0,0
A.MIRANCHUK,59,2021-2022,ATALANTA,4,SALERNITANA,ATALANTA,46',0,0,0,0,0,0,1,38,0,1,20,74,11,4,0,0,0
A.MIRANCHUK,59,2021-2022,ATALANTA,9,ATALANTA,UDINESE,32',0,0,1,0,0,0,1,16,0,0,7,88,5,1,0,0,0
A.MIRANCHUK,59,2021-2022,ATALANTA,10,SAMPDORIA,ATALANTA,17',0,0,0,0,0,0,0,11,0,0,4,57,3,0,0,0,0
A.MIRANCHUK,59,2021-2022,ATALANTA,15,ATALANTA,VENEZIA,14',0,0,1,0,0,0,1,13,0,0,5,63,3,1,0,0,0
A.MIRANCHUK,59,2021-2022,ATALANTA,17,HELLAS VERONA,ATALANTA,78',1,0,1,1,0,3,4,40,0,3,24,89,18,5,0,0,0
A.MIRANCHUK,59,2021-2022,ATALANTA,18,ATALANTA,ROMA,29',0,0,3,1,0,0,1,24,0,0,18,100,11,1,0,0,0
A.MIRANCHUK,59,2021-2022,ATALANTA,19,GENOA,ATALANTA,67',0,0,0,0,0,2,2,55,0,2,33,77,32,2,0,0,0
A.MIRANCHUK,59,2021-2022,ATALANTA,21,UDINESE,ATALANTA,19',0,0,1,0,0,2,0,16,2,0,9,100,5,0,0,0,0
A.MIRANCHUK,59,2021-2022,ATALANTA,22,ATALANTA,INTER,15',0,0,0,0,0,1,0,8,0,1,6,100,5,0,0,0,0
