Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
A.REBIC,12,2021-2022,MILAN,1,SAMPDORIA,MILAN,25',0,0,1,0,0,1,0,8,0,0,0,0,0,0,0,0,0
A.REBIC,12,2021-2022,MILAN,2,MILAN,CAGLIARI,27',0,0,2,0,0,1,0,19,0,0,9,69,5,0,0,0,0
A.REBIC,12,2021-2022,MILAN,3,MILAN,LAZIO,100',0,0,0,0,0,0,2,37,2,1,20,83,16,1,0,0,0
A.REBIC,12,2021-2022,MILAN,4,JUVENTUS,MILAN,95',1,0,3,1,0,2,0,34,0,1,6,60,8,6,0,0,0
A.REBIC,12,2021-2022,MILAN,5,MILAN,VENEZIA,75',0,0,2,0,0,1,1,24,0,2,9,69,9,3,0,0,0
A.REBIC,12,2021-2022,MILAN,6,SPEZIA,MILAN,45',0,0,2,0,0,1,0,20,0,0,3,30,2,2,0,0,0
A.REBIC,12,2021-2022,MILAN,7,ATALANTA,MILAN,97',0,0,1,0,0,0,0,42,0,2,13,52,11,0,0,0,0
A.REBIC,12,2021-2022,MILAN,8,MILAN,HELLAS VERONA,36',0,0,1,0,0,0,2,31,0,0,8,62,9,2,0,0,0
A.REBIC,12,2021-2022,MILAN,12,MILAN,INTER,34',0,0,4,0,0,0,1,29,0,0,4,57,4,0,0,0,0
A.REBIC,12,2021-2022,MILAN,21,VENEZIA,MILAN,30',0,0,1,0,0,0,0,27,0,0,11,58,9,4,0,0,0
A.REBIC,12,2021-2022,MILAN,22,MILAN,SPEZIA,13',0,0,0,0,0,2,1,11,0,2,5,83,4,1,0,0,0
A.REBIC,12,2021-2022,MILAN,23,MILAN,JUVENTUS,17',0,0,0,0,0,0,0,13,0,0,6,75,5,1,0,0,0
A.REBIC,12,2021-2022,MILAN,25,MILAN,SAMPDORIA,36',0,0,3,1,0,3,0,23,0,3,9,60,10,1,0,0,0
A.REBIC,12,2021-2022,MILAN,26,SALERNITANA,MILAN,33',1,0,1,1,0,1,0,15,0,1,5,63,5,0,1,0,0
A.REBIC,12,2021-2022,MILAN,27,MILAN,UDINESE,30',0,0,0,0,0,1,0,7,0,1,3,60,2,0,1,0,0
A.REBIC,12,2021-2022,MILAN,28,NAPOLI,MILAN,27',0,0,0,0,0,1,2,13,0,1,6,67,4,1,0,0,0
A.REBIC,12,2021-2022,MILAN,29,MILAN,EMPOLI,12',0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
A.REBIC,12,2021-2022,MILAN,30,CAGLIARI,MILAN,23',0,0,2,1,0,1,0,12,0,1,4,67,4,0,0,0,0
A.REBIC,12,2021-2022,MILAN,31,MILAN,BOLOGNA,53',0,0,4,1,0,0,0,41,0,0,17,74,16,4,0,0,0
