Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
A.SILVA,5,2021-2022,SAMPDORIA,1,SAMPDORIA,MILAN,8',0,0,0,0,0,0,0,11,0,0,4,67,3,1,0,0,0
A.SILVA,5,2021-2022,SAMPDORIA,2,SASSUOLO,SAMPDORIA,9',0,0,0,0,0,0,0,4,0,0,2,67,2,0,0,0,0
A.SILVA,5,2021-2022,SAMPDORIA,3,SAMPDORIA,INTER,90',0,0,0,0,0,0,0,70,0,0,51,91,25,6,1,0,0
A.SILVA,5,2021-2022,SAMPDORIA,4,EMPOLI,SAMPDORIA,69',0,0,0,0,0,0,1,34,0,0,18,82,6,7,0,0,0
A.SILVA,5,2021-2022,SAMPDORIA,5,SAMPDORIA,NAPOLI,56',0,0,1,1,0,1,1,53,0,0,42,93,24,3,0,0,0
A.SILVA,5,2021-2022,SAMPDORIA,6,JUVENTUS,SAMPDORIA,35',0,0,0,0,0,0,1,39,1,0,36,100,24,1,0,0,0
A.SILVA,5,2021-2022,SAMPDORIA,7,SAMPDORIA,UDINESE,74',0,0,1,1,0,0,1,51,0,0,31,84,20,4,0,0,0
A.SILVA,5,2021-2022,SAMPDORIA,8,CAGLIARI,SAMPDORIA,98',0,0,2,0,0,0,3,73,0,0,50,88,23,5,0,0,0
A.SILVA,5,2021-2022,SAMPDORIA,9,SAMPDORIA,SPEZIA,97',0,0,0,0,0,0,2,48,0,0,20,74,10,10,0,0,0
A.SILVA,5,2021-2022,SAMPDORIA,10,SAMPDORIA,ATALANTA,86',0,0,0,0,0,0,0,62,0,0,39,80,11,6,0,0,0
A.SILVA,5,2021-2022,SAMPDORIA,11,TORINO,SAMPDORIA,67',0,0,0,0,0,0,3,43,0,0,27,87,14,4,0,0,1
A.SILVA,5,2021-2022,SAMPDORIA,14,SAMPDORIA,HELLAS VERONA,28',0,0,0,0,0,0,0,15,0,0,6,67,4,3,0,0,0
A.SILVA,5,2021-2022,SAMPDORIA,15,FIORENTINA,SAMPDORIA,94',0,0,0,0,0,0,0,60,0,0,40,85,13,9,0,0,0
A.SILVA,5,2021-2022,SAMPDORIA,16,SAMPDORIA,LAZIO,49',0,0,1,0,0,2,0,55,0,2,39,95,29,5,1,0,0
A.SILVA,5,2021-2022,SAMPDORIA,17,GENOA,SAMPDORIA,99',0,0,2,0,0,0,2,49,0,0,29,83,10,10,0,0,0
A.SILVA,5,2021-2022,SAMPDORIA,18,SAMPDORIA,VENEZIA,95',0,0,0,0,0,2,1,62,0,2,36,75,23,4,1,0,0
A.SILVA,5,2021-2022,SAMPDORIA,19,ROMA,SAMPDORIA,98',0,0,1,0,0,1,1,55,0,1,37,88,15,7,0,0,0
