Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
B.DIAZ,10,2021-2022,MILAN,1,SAMPDORIA,MILAN,71',1,0,3,2,0,1,1,49,0,0,32,86,25,2,0,0,0
B.DIAZ,10,2021-2022,MILAN,2,MILAN,CAGLIARI,87',0,0,1,0,0,1,1,63,1,0,46,96,35,1,1,0,0
B.DIAZ,10,2021-2022,MILAN,3,MILAN,LAZIO,86',0,0,2,0,0,0,3,43,0,0,26,93,20,0,0,0,0
B.DIAZ,10,2021-2022,MILAN,4,JUVENTUS,MILAN,95',0,0,1,0,0,0,1,63,0,1,37,88,32,1,0,0,0
B.DIAZ,10,2021-2022,MILAN,5,MILAN,VENEZIA,81',1,0,2,1,0,2,0,50,0,0,33,87,25,2,0,0,0
B.DIAZ,10,2021-2022,MILAN,6,SPEZIA,MILAN,12',1,0,1,1,0,1,0,9,0,0,5,83,3,1,0,0,0
B.DIAZ,10,2021-2022,MILAN,7,ATALANTA,MILAN,76',0,0,2,1,0,1,0,37,0,0,19,86,11,1,1,0,0
B.DIAZ,10,2021-2022,MILAN,12,MILAN,INTER,61',0,0,0,0,0,0,1,27,0,0,14,88,4,4,0,0,0
B.DIAZ,10,2021-2022,MILAN,13,FIORENTINA,MILAN,58',0,0,0,0,0,1,0,28,0,1,17,85,11,2,0,0,0
B.DIAZ,10,2021-2022,MILAN,14,MILAN,SASSUOLO,46',0,0,0,0,0,0,1,17,0,0,11,79,7,2,0,0,0
B.DIAZ,10,2021-2022,MILAN,15,GENOA,MILAN,80',0,0,2,0,0,3,1,54,1,2,25,81,21,4,0,0,0
B.DIAZ,10,2021-2022,MILAN,16,MILAN,SALERNITANA,95',0,0,5,1,0,5,1,51,1,4,27,73,21,5,0,0,0
B.DIAZ,10,2021-2022,MILAN,17,UDINESE,MILAN,82',0,0,2,0,0,0,1,43,0,0,21,88,16,1,0,0,0
B.DIAZ,10,2021-2022,MILAN,18,MILAN,NAPOLI,63',0,0,0,0,0,0,3,26,0,0,12,86,10,2,0,0,0
B.DIAZ,10,2021-2022,MILAN,19,EMPOLI,MILAN,14',0,0,0,0,0,0,0,12,0,0,6,86,4,2,0,0,0
B.DIAZ,10,2021-2022,MILAN,20,MILAN,ROMA,93',0,0,2,0,1,1,3,49,0,1,23,79,17,5,0,0,0
B.DIAZ,10,2021-2022,MILAN,21,VENEZIA,MILAN,74',0,0,1,0,0,0,0,40,0,0,28,93,18,3,0,0,0
B.DIAZ,10,2021-2022,MILAN,22,MILAN,SPEZIA,72',0,0,0,0,0,1,1,45,0,1,31,86,20,5,0,0,0
B.DIAZ,10,2021-2022,MILAN,23,MILAN,JUVENTUS,63',0,0,0,0,0,0,1,46,0,0,31,94,25,6,0,0,0
B.DIAZ,10,2021-2022,MILAN,24,INTER,MILAN,38',0,0,1,0,0,1,2,24,0,1,8,89,5,1,1,0,0
B.DIAZ,10,2021-2022,MILAN,25,MILAN,SAMPDORIA,62',0,0,0,0,0,0,1,30,0,0,17,89,12,4,1,0,0
B.DIAZ,10,2021-2022,MILAN,26,SALERNITANA,MILAN,65',0,0,0,0,0,0,0,30,0,0,16,76,9,3,0,0,0
B.DIAZ,10,2021-2022,MILAN,27,MILAN,UDINESE,85',0,0,0,0,0,2,2,42,0,2,20,80,14,6,0,0,0
B.DIAZ,10,2021-2022,MILAN,29,MILAN,EMPOLI,23',0,0,0,0,0,0,0,15,0,0,8,100,7,3,0,0,0
B.DIAZ,10,2021-2022,MILAN,30,CAGLIARI,MILAN,71',0,0,1,0,0,3,0,41,0,3,26,87,18,7,0,0,0
B.DIAZ,10,2021-2022,MILAN,31,MILAN,BOLOGNA,99',0,0,2,0,0,3,1,52,0,3,26,87,24,9,0,0,0
B.DIAZ,10,2021-2022,MILAN,32,TORINO,MILAN,55',0,0,0,0,0,0,2,19,0,0,4,44,2,0,0,0,0
B.DIAZ,10,2021-2022,MILAN,33,MILAN,GENOA,9',0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
B.DIAZ,10,2021-2022,MILAN,34,LAZIO,MILAN,70',0,0,2,0,0,2,3,27,0,2,14,93,10,3,0,0,0
B.DIAZ,10,2021-2022,MILAN,35,MILAN,FIORENTINA,57',0,0,0,0,0,1,2,23,0,1,7,78,5,1,0,0,0
B.DIAZ,10,2021-2022,MILAN,38,SASSUOLO,MILAN,20',0,0,0,0,0,0,1,10,0,0,6,100,2,1,0,0,0
