Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
BREMER,3,2021-2022,TORINO,1,TORINO,ATALANTA,75',0,0,1,0,1,0,0,36,0,0,10,59,3,11,1,0,0
BREMER,3,2021-2022,TORINO,3,TORINO,SALERNITANA,99',1,0,2,1,0,1,0,81,0,0,56,89,17,13,0,0,0
BREMER,3,2021-2022,TORINO,4,SASSUOLO,TORINO,96',0,0,1,1,0,1,0,56,0,0,32,76,7,10,1,0,0
BREMER,3,2021-2022,TORINO,5,TORINO,LAZIO,96',0,0,1,0,0,0,2,47,0,0,27,75,5,11,0,0,0
BREMER,3,2021-2022,TORINO,6,VENEZIA,TORINO,97',0,0,0,0,0,0,1,85,0,0,63,90,12,13,0,0,0
BREMER,3,2021-2022,TORINO,7,TORINO,JUVENTUS,94',0,0,0,0,0,0,0,59,0,0,35,83,13,15,0,0,0
BREMER,3,2021-2022,TORINO,8,NAPOLI,TORINO,98',0,0,1,1,0,1,0,43,0,0,15,60,4,10,0,0,0
BREMER,3,2021-2022,TORINO,9,TORINO,GENOA,94',0,0,0,0,0,0,2,59,0,0,38,81,8,12,0,0,0
BREMER,3,2021-2022,TORINO,10,MILAN,TORINO,95',0,0,0,0,0,0,1,66,0,0,38,83,12,14,0,0,0
BREMER,3,2021-2022,TORINO,11,TORINO,SAMPDORIA,93',0,0,1,1,0,0,1,79,1,0,55,87,14,13,1,0,0
BREMER,3,2021-2022,TORINO,12,SPEZIA,TORINO,97',0,0,0,0,0,0,1,70,0,0,37,79,10,7,0,0,0
BREMER,3,2021-2022,TORINO,13,TORINO,UDINESE,95',1,0,3,2,0,0,1,69,0,0,34,77,4,7,0,0,0
BREMER,3,2021-2022,TORINO,14,ROMA,TORINO,101',0,0,3,0,0,1,0,117,0,1,90,90,32,10,0,0,0
BREMER,3,2021-2022,TORINO,15,TORINO,EMPOLI,97',0,0,1,0,0,0,1,39,0,0,18,78,6,3,0,0,0
BREMER,3,2021-2022,TORINO,16,CAGLIARI,TORINO,95',0,0,1,0,0,0,0,64,0,0,30,73,10,12,0,0,0
BREMER,3,2021-2022,TORINO,17,TORINO,BOLOGNA,45',0,0,0,0,0,1,1,33,0,1,21,75,10,9,0,0,0
BREMER,3,2021-2022,TORINO,18,TORINO,HELLAS VERONA,97',0,0,0,0,0,1,1,81,0,1,59,83,24,7,0,0,0
BREMER,3,2021-2022,TORINO,19,INTER,TORINO,94',0,0,1,1,0,0,1,56,0,0,36,86,13,10,0,0,0
BREMER,3,2021-2022,TORINO,21,TORINO,FIORENTINA,91',0,0,0,0,0,2,0,42,0,2,24,80,7,10,0,0,0
BREMER,3,2021-2022,TORINO,22,SAMPDORIA,TORINO,98',0,0,1,0,0,0,0,54,0,0,29,85,11,11,1,0,0
BREMER,3,2021-2022,TORINO,23,TORINO,SASSUOLO,94',0,0,2,1,0,0,2,52,0,0,29,78,8,13,1,0,0
BREMER,3,2021-2022,TORINO,25,TORINO,VENEZIA,106',0,0,1,0,0,0,0,66,0,0,39,83,13,5,1,0,0
BREMER,3,2021-2022,TORINO,26,JUVENTUS,TORINO,90',0,0,0,0,0,0,1,48,0,0,28,80,5,11,0,0,0
BREMER,3,2021-2022,TORINO,27,TORINO,CAGLIARI,99',0,0,2,1,0,0,2,73,0,0,41,82,10,10,0,0,0
BREMER,3,2021-2022,TORINO,28,BOLOGNA,TORINO,94',0,0,1,0,0,0,1,45,0,0,23,70,13,11,0,0,0
BREMER,3,2021-2022,TORINO,29,TORINO,INTER,97',1,0,1,1,0,0,2,63,0,0,35,83,19,13,0,0,0
BREMER,3,2021-2022,TORINO,30,GENOA,TORINO,95',0,0,0,0,0,0,0,112,0,0,91,94,22,7,0,0,0
BREMER,3,2021-2022,TORINO,31,SALERNITANA,TORINO,100',0,0,1,1,0,0,0,52,0,0,22,69,5,5,0,0,0
BREMER,3,2021-2022,TORINO,32,TORINO,MILAN,97',0,0,0,0,0,0,0,43,0,0,12,71,3,5,0,0,0
BREMER,3,2021-2022,TORINO,33,LAZIO,TORINO,96',0,0,2,0,1,0,0,46,0,0,29,94,1,7,0,0,0
BREMER,3,2021-2022,TORINO,34,TORINO,SPEZIA,75',0,0,0,0,0,0,0,47,0,0,24,69,5,6,1,0,0
