Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
D.CRNIGOJ,33,2021-2022,VENEZIA,2,UDINESE,VENEZIA,71',0,0,0,0,0,0,0,50,0,0,37,84,16,3,0,0,0
D.CRNIGOJ,33,2021-2022,VENEZIA,3,EMPOLI,VENEZIA,44',0,0,0,0,0,0,0,20,0,0,7,64,2,6,0,0,0
D.CRNIGOJ,33,2021-2022,VENEZIA,4,VENEZIA,SPEZIA,58',0,0,1,0,0,0,0,32,0,0,15,75,3,7,0,0,0
D.CRNIGOJ,33,2021-2022,VENEZIA,5,MILAN,VENEZIA,41',0,0,0,0,0,0,1,26,0,0,9,60,2,5,0,0,0
D.CRNIGOJ,33,2021-2022,VENEZIA,6,VENEZIA,TORINO,66',0,0,0,0,0,0,2,24,0,1,7,47,6,4,0,0,0
D.CRNIGOJ,33,2021-2022,VENEZIA,7,CAGLIARI,VENEZIA,50',0,0,2,0,0,0,1,29,0,0,15,88,8,0,0,0,0
D.CRNIGOJ,33,2021-2022,VENEZIA,8,VENEZIA,FIORENTINA,30',0,0,0,0,0,0,0,15,0,0,6,60,3,2,0,0,0
D.CRNIGOJ,33,2021-2022,VENEZIA,9,SASSUOLO,VENEZIA,60',0,0,1,0,0,0,1,21,0,0,10,83,5,2,1,0,0
D.CRNIGOJ,33,2021-2022,VENEZIA,10,VENEZIA,SALERNITANA,98',0,0,1,1,0,1,1,52,0,0,26,74,13,6,0,0,0
D.CRNIGOJ,33,2021-2022,VENEZIA,11,GENOA,VENEZIA,69',0,0,0,0,0,0,0,20,0,0,12,80,4,3,0,0,0
D.CRNIGOJ,33,2021-2022,VENEZIA,12,VENEZIA,ROMA,48',0,0,0,0,0,1,0,9,0,1,5,83,4,2,0,0,0
D.CRNIGOJ,33,2021-2022,VENEZIA,14,VENEZIA,INTER,13',0,0,0,0,0,0,1,12,0,0,4,67,2,2,0,0,0
D.CRNIGOJ,33,2021-2022,VENEZIA,15,ATALANTA,VENEZIA,46',0,0,2,1,0,0,0,38,0,0,25,83,14,4,0,0,0
D.CRNIGOJ,33,2021-2022,VENEZIA,16,VENEZIA,HELLAS VERONA,96',1,0,2,2,0,1,0,53,0,1,23,72,14,6,0,0,0
D.CRNIGOJ,33,2021-2022,VENEZIA,17,VENEZIA,JUVENTUS,81',0,0,2,0,0,1,0,43,0,1,24,71,14,5,0,0,0
D.CRNIGOJ,33,2021-2022,VENEZIA,18,SAMPDORIA,VENEZIA,26',0,0,0,0,0,0,0,18,0,0,6,50,2,0,0,0,0
D.CRNIGOJ,33,2021-2022,VENEZIA,19,VENEZIA,LAZIO,69',0,0,0,0,0,0,0,34,0,0,21,91,5,4,1,0,0
D.CRNIGOJ,33,2021-2022,VENEZIA,21,VENEZIA,MILAN,32',0,0,2,1,0,0,0,28,0,0,16,80,7,1,0,0,0
D.CRNIGOJ,33,2021-2022,VENEZIA,22,VENEZIA,EMPOLI,95',0,0,4,0,0,0,0,45,0,0,19,76,12,5,1,0,0
D.CRNIGOJ,33,2021-2022,VENEZIA,24,VENEZIA,NAPOLI,70',0,0,1,1,0,0,1,35,0,0,15,75,7,3,0,0,0
D.CRNIGOJ,33,2021-2022,VENEZIA,25,TORINO,VENEZIA,106',1,0,1,1,0,1,2,28,1,0,9,56,9,5,0,0,0
D.CRNIGOJ,33,2021-2022,VENEZIA,26,VENEZIA,GENOA,47',0,0,2,1,0,0,0,25,0,0,6,55,5,3,0,0,0
D.CRNIGOJ,33,2021-2022,VENEZIA,27,HELLAS VERONA,VENEZIA,70',0,0,1,0,0,0,0,37,0,0,9,56,4,6,0,0,0
D.CRNIGOJ,33,2021-2022,VENEZIA,29,LAZIO,VENEZIA,64',0,0,3,1,0,0,0,22,0,0,8,80,5,1,0,0,0
D.CRNIGOJ,33,2021-2022,VENEZIA,30,VENEZIA,SAMPDORIA,15',0,0,0,0,0,0,0,6,0,0,1,50,1,0,0,0,0
D.CRNIGOJ,33,2021-2022,VENEZIA,31,SPEZIA,VENEZIA,36',0,0,1,0,0,0,0,18,0,0,8,80,7,1,0,0,0
