Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
D.STRELEC,44,2021-2022,SPEZIA,6,SPEZIA,MILAN,15',0,0,0,0,0,0,0,7,0,0,1,50,0,1,0,0,0
D.STRELEC,44,2021-2022,SPEZIA,7,HELLAS VERONA,SPEZIA,31',0,0,1,0,0,1,0,18,0,0,10,77,6,1,0,0,0
D.STRELEC,44,2021-2022,SPEZIA,8,SPEZIA,SALERNITANA,71',1,0,1,1,0,1,1,28,0,1,14,88,9,0,0,0,0
D.STRELEC,44,2021-2022,SPEZIA,9,SAMPDORIA,SPEZIA,97',0,0,1,1,0,0,1,42,0,0,22,67,15,3,0,0,0
D.STRELEC,44,2021-2022,SPEZIA,10,SPEZIA,GENOA,60',0,0,0,0,0,0,1,29,0,0,6,43,5,3,0,0,0
D.STRELEC,44,2021-2022,SPEZIA,11,FIORENTINA,SPEZIA,66',0,0,0,0,0,0,1,20,0,0,11,92,5,1,0,0,0
D.STRELEC,44,2021-2022,SPEZIA,14,SPEZIA,BOLOGNA,59',0,0,1,1,0,0,0,21,0,0,11,79,8,2,0,0,0
D.STRELEC,44,2021-2022,SPEZIA,17,ROMA,SPEZIA,55',0,0,0,0,0,2,1,14,0,2,9,90,6,1,0,0,0
D.STRELEC,44,2021-2022,SPEZIA,20,SPEZIA,HELLAS VERONA,51',0,0,0,0,0,1,0,21,0,1,7,50,5,4,0,0,0
D.STRELEC,44,2021-2022,SPEZIA,34,TORINO,SPEZIA,27',0,0,0,0,0,0,0,10,0,0,6,75,1,1,0,0,0
