Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
F.DJURICIC,10,2021-2022,SASSUOLO,1,HELLAS VERONA,SASSUOLO,89',1,0,3,1,1,1,1,52,1,0,33,89,20,2,1,0,0
F.DJURICIC,10,2021-2022,SASSUOLO,2,SASSUOLO,SAMPDORIA,94',0,0,4,2,0,0,1,50,0,0,22,79,20,2,0,0,0
F.DJURICIC,10,2021-2022,SASSUOLO,3,ROMA,SASSUOLO,85',1,0,2,1,0,1,0,27,0,0,11,69,5,1,0,0,0
F.DJURICIC,10,2021-2022,SASSUOLO,4,SASSUOLO,TORINO,88',0,0,0,0,0,0,2,38,0,0,9,50,4,5,0,0,0
F.DJURICIC,10,2021-2022,SASSUOLO,5,ATALANTA,SASSUOLO,27',0,0,0,0,0,0,0,18,0,0,10,91,8,1,0,0,0
F.DJURICIC,10,2021-2022,SASSUOLO,6,SASSUOLO,SALERNITANA,93',0,0,3,0,0,0,2,51,0,1,27,84,24,2,0,0,0
F.DJURICIC,10,2021-2022,SASSUOLO,7,SASSUOLO,INTER,76',0,0,1,1,0,1,3,37,0,0,21,88,10,1,0,0,0
F.DJURICIC,10,2021-2022,SASSUOLO,8,GENOA,SASSUOLO,77',0,0,2,1,0,1,1,37,0,2,17,77,7,1,0,0,0
F.DJURICIC,10,2021-2022,SASSUOLO,9,SASSUOLO,VENEZIA,28',0,0,0,0,0,0,0,16,0,0,10,83,7,2,0,0,0
F.DJURICIC,10,2021-2022,SASSUOLO,33,CAGLIARI,SASSUOLO,14',0,0,1,0,0,0,1,9,0,0,1,33,1,1,0,0,0
F.DJURICIC,10,2021-2022,SASSUOLO,34,SASSUOLO,JUVENTUS,15',0,0,0,0,0,1,0,13,0,1,12,92,10,2,0,0,0
