Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
G.ALTARE,15,2021-2022,CAGLIARI,7,CAGLIARI,VENEZIA,8',0,0,0,0,0,0,0,3,0,0,1,50,1,0,0,0,0
G.ALTARE,15,2021-2022,CAGLIARI,20,SAMPDORIA,CAGLIARI,95',0,0,0,0,0,0,1,66,0,0,42,81,16,9,0,0,0
G.ALTARE,15,2021-2022,CAGLIARI,21,CAGLIARI,BOLOGNA,99',0,0,0,0,0,0,1,75,0,0,39,70,18,8,1,0,0
G.ALTARE,15,2021-2022,CAGLIARI,22,ROMA,CAGLIARI,91',0,0,2,0,0,0,1,70,0,0,27,63,5,7,1,0,0
G.ALTARE,15,2021-2022,CAGLIARI,23,CAGLIARI,FIORENTINA,47',0,0,0,0,0,0,0,16,0,0,3,60,1,0,1,0,0
G.ALTARE,15,2021-2022,CAGLIARI,25,EMPOLI,CAGLIARI,76',0,0,3,1,0,0,0,36,0,0,17,71,5,4,0,0,0
G.ALTARE,15,2021-2022,CAGLIARI,26,CAGLIARI,NAPOLI,99',0,0,2,1,0,0,1,60,0,0,27,63,13,9,0,0,0
G.ALTARE,15,2021-2022,CAGLIARI,27,TORINO,CAGLIARI,99',0,0,2,0,0,0,1,42,0,0,16,59,3,7,0,0,0
G.ALTARE,15,2021-2022,CAGLIARI,28,CAGLIARI,LAZIO,59',0,0,0,0,0,1,1,40,0,1,18,64,6,5,1,0,0
G.ALTARE,15,2021-2022,CAGLIARI,29,SPEZIA,CAGLIARI,100',0,0,2,1,0,0,0,79,0,0,38,75,13,9,0,0,0
G.ALTARE,15,2021-2022,CAGLIARI,30,CAGLIARI,MILAN,94',0,0,0,0,0,0,0,52,0,0,21,60,11,17,0,0,0
G.ALTARE,15,2021-2022,CAGLIARI,31,UDINESE,CAGLIARI,56',0,0,0,0,0,0,0,44,0,0,23,68,8,6,0,0,0
G.ALTARE,15,2021-2022,CAGLIARI,32,CAGLIARI,JUVENTUS,96',0,0,0,0,0,1,0,50,0,1,22,71,14,3,0,0,0
