Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
G.FERRARI,31,2021-2022,SASSUOLO,1,HELLAS VERONA,SASSUOLO,101',0,0,0,0,0,0,2,79,0,0,65,94,16,6,0,0,0
G.FERRARI,31,2021-2022,SASSUOLO,2,SASSUOLO,SAMPDORIA,94',0,0,2,1,0,0,2,108,0,0,79,85,23,11,0,0,0
G.FERRARI,31,2021-2022,SASSUOLO,3,ROMA,SASSUOLO,98',0,0,1,0,0,0,0,87,0,0,70,96,13,8,0,0,0
G.FERRARI,31,2021-2022,SASSUOLO,4,SASSUOLO,TORINO,96',0,0,3,1,0,2,1,64,0,0,43,77,9,6,0,0,0
G.FERRARI,31,2021-2022,SASSUOLO,5,ATALANTA,SASSUOLO,94',0,0,0,0,0,0,0,79,0,0,62,87,16,4,1,0,0
G.FERRARI,31,2021-2022,SASSUOLO,6,SASSUOLO,SALERNITANA,99',0,0,0,0,0,0,2,73,0,0,52,87,14,9,1,0,0
G.FERRARI,31,2021-2022,SASSUOLO,7,SASSUOLO,INTER,95',0,0,0,0,0,0,1,84,0,0,58,85,16,12,0,0,0
G.FERRARI,31,2021-2022,SASSUOLO,8,GENOA,SASSUOLO,101',0,0,1,0,0,0,0,86,0,0,63,86,16,11,0,0,0
G.FERRARI,31,2021-2022,SASSUOLO,9,SASSUOLO,VENEZIA,95',0,0,0,0,0,0,3,99,0,0,82,93,29,3,0,0,0
G.FERRARI,31,2021-2022,SASSUOLO,10,JUVENTUS,SASSUOLO,97',0,0,0,0,0,0,2,62,0,0,48,89,9,3,0,0,0
G.FERRARI,31,2021-2022,SASSUOLO,11,SASSUOLO,EMPOLI,95',0,0,1,0,0,0,2,69,0,0,56,93,13,9,0,0,0
G.FERRARI,31,2021-2022,SASSUOLO,12,UDINESE,SASSUOLO,97',0,0,1,1,0,0,1,112,0,0,84,91,22,7,1,0,0
G.FERRARI,31,2021-2022,SASSUOLO,13,SASSUOLO,CAGLIARI,94',0,0,1,0,0,0,2,95,0,0,74,89,21,6,0,0,0
G.FERRARI,31,2021-2022,SASSUOLO,14,MILAN,SASSUOLO,95',0,0,0,0,0,2,2,42,0,2,24,83,6,3,0,0,0
G.FERRARI,31,2021-2022,SASSUOLO,15,SASSUOLO,NAPOLI,96',1,0,2,2,0,0,2,83,0,0,61,94,20,1,0,0,0
