Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
IGOR,98,2021-2022,FIORENTINA,1,ROMA,FIORENTINA,97',0,0,1,1,0,0,0,104,0,0,92,99,36,5,0,0,0
IGOR,98,2021-2022,FIORENTINA,3,ATALANTA,FIORENTINA,98',0,0,0,0,0,0,0,61,0,0,44,92,13,9,1,0,0
IGOR,98,2021-2022,FIORENTINA,4,GENOA,FIORENTINA,103',0,0,0,0,0,0,0,85,0,0,66,93,22,6,0,0,0
IGOR,98,2021-2022,FIORENTINA,6,UDINESE,FIORENTINA,13',0,0,0,0,0,0,0,7,0,0,5,100,1,0,0,0,0
IGOR,98,2021-2022,FIORENTINA,8,VENEZIA,FIORENTINA,95',0,0,0,0,0,0,0,105,0,0,92,97,31,6,0,0,0
IGOR,98,2021-2022,FIORENTINA,11,FIORENTINA,SPEZIA,18',0,0,0,0,0,0,0,13,0,0,10,100,1,0,0,0,0
IGOR,98,2021-2022,FIORENTINA,12,JUVENTUS,FIORENTINA,21',0,0,0,0,0,0,0,7,0,0,6,86,0,2,0,0,0
IGOR,98,2021-2022,FIORENTINA,13,FIORENTINA,MILAN,98',0,0,0,0,0,0,0,64,0,0,48,91,10,7,0,0,0
IGOR,98,2021-2022,FIORENTINA,15,FIORENTINA,SAMPDORIA,94',0,0,0,0,0,1,0,104,0,1,86,90,26,13,0,0,0
IGOR,98,2021-2022,FIORENTINA,17,FIORENTINA,SALERNITANA,49',0,0,0,0,0,0,0,54,0,0,45,96,7,4,0,0,0
