Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
J.IKONE',11,2021-2022,FIORENTINA,21,TORINO,FIORENTINA,12',0,0,0,0,0,0,0,9,0,0,4,80,4,2,0,0,0
J.IKONE',11,2021-2022,FIORENTINA,22,FIORENTINA,GENOA,19',0,0,0,0,0,2,0,17,1,1,7,64,5,2,0,0,0
J.IKONE',11,2021-2022,FIORENTINA,23,CAGLIARI,FIORENTINA,62',0,0,1,1,0,2,0,37,0,2,12,55,10,5,0,0,0
J.IKONE',11,2021-2022,FIORENTINA,24,FIORENTINA,LAZIO,16',0,0,0,0,0,0,0,8,0,0,6,100,4,1,0,0,0
J.IKONE',11,2021-2022,FIORENTINA,25,SPEZIA,FIORENTINA,9',0,0,1,0,0,0,0,6,0,0,3,100,1,2,0,0,0
J.IKONE',11,2021-2022,FIORENTINA,27,SASSUOLO,FIORENTINA,84',0,0,3,3,0,3,0,43,0,3,21,75,17,6,0,0,0
J.IKONE',11,2021-2022,FIORENTINA,28,FIORENTINA,HELLAS VERONA,45',0,0,1,0,0,0,0,21,0,0,13,100,7,0,0,0,0
J.IKONE',11,2021-2022,FIORENTINA,29,FIORENTINA,BOLOGNA,36',0,0,0,0,0,0,0,15,0,0,12,92,11,2,0,0,0
J.IKONE',11,2021-2022,FIORENTINA,30,INTER,FIORENTINA,22',0,0,2,1,0,0,0,10,0,0,3,60,2,1,0,0,0
J.IKONE',11,2021-2022,FIORENTINA,32,NAPOLI,FIORENTINA,30',1,0,2,1,0,0,0,20,0,0,9,90,3,4,1,0,0
J.IKONE',11,2021-2022,FIORENTINA,33,FIORENTINA,VENEZIA,68',0,0,3,0,1,2,2,41,0,2,24,96,18,1,0,0,0
J.IKONE',11,2021-2022,FIORENTINA,34,SALERNITANA,FIORENTINA,49',0,0,0,0,0,0,0,21,0,0,15,100,6,0,0,0,0
J.IKONE',11,2021-2022,FIORENTINA,35,MILAN,FIORENTINA,28',0,0,0,0,0,0,0,15,0,0,7,70,1,3,0,0,0
J.IKONE',11,2021-2022,FIORENTINA,20,FIORENTINA,UDINESE,26',0,0,0,0,0,0,0,18,0,0,13,100,12,0,0,0,0
J.IKONE',11,2021-2022,FIORENTINA,36,FIORENTINA,ROMA,94',0,0,1,0,0,1,1,63,0,1,41,89,28,8,0,0,0
J.IKONE',11,2021-2022,FIORENTINA,37,SAMPDORIA,FIORENTINA,68',0,0,2,0,0,0,2,35,0,0,21,91,15,3,0,0,0
J.IKONE',11,2021-2022,FIORENTINA,38,FIORENTINA,JUVENTUS,24',0,0,0,0,0,0,1,17,0,0,12,92,9,1,0,0,0
