Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
K.STROOTMAN,16,2021-2022,CAGLIARI,1,CAGLIARI,SPEZIA,97',0,0,0,0,0,0,4,95,0,0,56,79,28,10,1,0,0
K.STROOTMAN,16,2021-2022,CAGLIARI,2,MILAN,CAGLIARI,77',0,0,0,0,0,0,3,55,0,0,42,91,16,2,1,0,0
K.STROOTMAN,16,2021-2022,CAGLIARI,5,CAGLIARI,EMPOLI,50',0,0,1,0,0,0,1,31,0,0,17,71,11,3,0,0,0
K.STROOTMAN,16,2021-2022,CAGLIARI,6,NAPOLI,CAGLIARI,85',0,0,0,0,0,0,0,48,0,0,32,78,11,5,0,0,0
K.STROOTMAN,16,2021-2022,CAGLIARI,7,CAGLIARI,VENEZIA,88',0,0,0,0,0,0,1,51,0,0,42,88,23,1,1,0,0
K.STROOTMAN,16,2021-2022,CAGLIARI,8,CAGLIARI,SAMPDORIA,98',0,0,0,0,0,0,0,53,0,0,29,74,21,6,1,0,0
K.STROOTMAN,16,2021-2022,CAGLIARI,11,BOLOGNA,CAGLIARI,59',0,0,0,0,0,0,0,34,0,0,27,87,8,2,0,0,0
K.STROOTMAN,16,2021-2022,CAGLIARI,12,CAGLIARI,ATALANTA,61',0,0,0,0,0,1,2,25,0,1,13,76,8,1,0,0,0
K.STROOTMAN,16,2021-2022,CAGLIARI,14,CAGLIARI,SALERNITANA,52',0,0,0,0,0,0,0,39,0,0,26,81,11,5,0,0,0
K.STROOTMAN,16,2021-2022,CAGLIARI,15,HELLAS VERONA,CAGLIARI,12',0,0,0,0,0,0,0,7,0,0,4,67,2,2,0,0,0
