Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
L.LEIVA,6,2021-2022,LAZIO,1,EMPOLI,LAZIO,82',0,0,0,0,0,0,1,61,0,0,43,93,21,4,1,0,0
L.LEIVA,6,2021-2022,LAZIO,2,LAZIO,SPEZIA,93',0,0,0,0,0,0,2,71,0,0,58,94,35,4,0,0,0
L.LEIVA,6,2021-2022,LAZIO,3,MILAN,LAZIO,100',0,0,0,0,0,0,0,73,0,0,52,91,26,7,0,0,0
L.LEIVA,6,2021-2022,LAZIO,4,LAZIO,CAGLIARI,67',0,0,0,0,0,0,2,56,0,0,43,90,28,1,0,0,0
L.LEIVA,6,2021-2022,LAZIO,5,TORINO,LAZIO,24',0,0,0,0,0,0,0,14,0,0,10,91,3,3,0,0,0
L.LEIVA,6,2021-2022,LAZIO,6,LAZIO,ROMA,62',0,0,0,0,0,0,1,35,0,0,25,83,4,3,1,0,0
L.LEIVA,6,2021-2022,LAZIO,7,BOLOGNA,LAZIO,72',0,0,0,0,0,0,0,46,0,0,34,89,24,5,0,0,0
L.LEIVA,6,2021-2022,LAZIO,8,LAZIO,INTER,86',0,0,1,0,0,0,1,62,0,0,53,95,28,5,0,0,0
L.LEIVA,6,2021-2022,LAZIO,9,HELLAS VERONA,LAZIO,64',0,0,0,0,0,0,0,47,0,1,36,92,19,6,0,0,0
L.LEIVA,6,2021-2022,LAZIO,10,LAZIO,FIORENTINA,10',0,0,0,0,0,0,0,6,0,0,3,100,1,2,0,0,0
L.LEIVA,6,2021-2022,LAZIO,11,ATALANTA,LAZIO,18',0,0,0,0,0,0,0,12,0,0,9,90,7,0,1,0,0
L.LEIVA,6,2021-2022,LAZIO,12,LAZIO,SALERNITANA,12',0,0,0,0,0,0,0,17,0,0,14,93,7,0,0,0,0
L.LEIVA,6,2021-2022,LAZIO,14,NAPOLI,LAZIO,15',0,0,0,0,0,0,0,16,0,0,14,93,5,0,0,0,0
L.LEIVA,6,2021-2022,LAZIO,16,SAMPDORIA,LAZIO,31',0,0,0,0,0,0,0,19,0,0,7,78,2,1,0,0,0
L.LEIVA,6,2021-2022,LAZIO,17,SASSUOLO,LAZIO,16',0,0,0,0,0,0,0,13,0,0,8,80,5,0,0,0,0
L.LEIVA,6,2021-2022,LAZIO,18,LAZIO,GENOA,19',0,0,0,0,0,0,0,21,0,0,17,94,11,4,0,0,0
L.LEIVA,6,2021-2022,LAZIO,19,VENEZIA,LAZIO,28',0,0,0,0,0,0,0,18,0,0,14,93,7,1,0,0,0
L.LEIVA,6,2021-2022,LAZIO,20,LAZIO,EMPOLI,38',0,0,2,0,0,0,1,40,0,0,31,94,18,4,0,0,0
L.LEIVA,6,2021-2022,LAZIO,21,INTER,LAZIO,26',0,0,0,0,0,0,0,21,0,0,19,95,10,3,0,0,0
L.LEIVA,6,2021-2022,LAZIO,22,SALERNITANA,LAZIO,33',0,0,0,0,0,0,0,47,0,0,39,95,22,2,0,0,0
