Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
L.OSTIGARD,55,2021-2022,GENOA,21,GENOA,SPEZIA,94',0,0,1,0,0,0,0,75,0,0,56,81,18,8,0,0,0
L.OSTIGARD,55,2021-2022,GENOA,22,FIORENTINA,GENOA,92',0,0,0,0,0,0,1,32,0,0,18,82,5,3,0,0,0
L.OSTIGARD,55,2021-2022,GENOA,24,ROMA,GENOA,25',0,0,0,0,0,0,0,14,0,0,5,63,4,2,0,0,1
L.OSTIGARD,55,2021-2022,GENOA,26,VENEZIA,GENOA,50',0,0,0,0,0,0,0,35,0,0,15,50,5,3,0,0,0
L.OSTIGARD,55,2021-2022,GENOA,27,GENOA,INTER,96',0,0,0,0,0,0,1,45,0,0,15,63,6,3,1,0,0
L.OSTIGARD,55,2021-2022,GENOA,28,GENOA,EMPOLI,96',0,0,2,1,0,0,0,63,0,0,37,70,7,8,0,0,0
L.OSTIGARD,55,2021-2022,GENOA,29,ATALANTA,GENOA,94',0,0,0,0,0,0,0,52,0,0,29,67,11,11,0,0,0
L.OSTIGARD,55,2021-2022,GENOA,30,GENOA,TORINO,24',0,0,0,0,0,0,0,10,0,0,4,44,1,2,0,1,0
L.OSTIGARD,55,2021-2022,GENOA,32,GENOA,LAZIO,92',0,0,1,1,0,1,1,61,0,1,35,80,17,5,0,0,0
L.OSTIGARD,55,2021-2022,GENOA,33,MILAN,GENOA,98',0,0,1,0,0,0,0,33,0,0,18,72,7,7,0,0,0
L.OSTIGARD,55,2021-2022,GENOA,34,GENOA,CAGLIARI,95',0,0,0,0,0,0,0,48,0,0,20,50,11,6,0,0,0
L.OSTIGARD,55,2021-2022,GENOA,35,SAMPDORIA,GENOA,102',0,0,0,0,0,0,1,65,0,0,36,63,12,9,0,0,0
L.OSTIGARD,55,2021-2022,GENOA,36,GENOA,JUVENTUS,97',0,0,1,0,0,1,0,56,0,1,36,78,15,7,0,0,0
L.OSTIGARD,55,2021-2022,GENOA,37,NAPOLI,GENOA,96',0,0,0,0,0,0,0,45,0,0,29,85,13,4,0,0,0
