Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
L.TONELLI,26,2021-2022,EMPOLI,3,EMPOLI,VENEZIA,53',0,0,0,0,0,0,3,44,0,0,34,89,12,2,0,0,0
L.TONELLI,26,2021-2022,EMPOLI,8,EMPOLI,ATALANTA,53',0,0,0,0,0,0,1,41,0,0,24,80,6,4,0,0,0
L.TONELLI,26,2021-2022,EMPOLI,9,SALERNITANA,EMPOLI,50',0,0,0,0,0,0,2,19,0,0,10,83,4,2,0,0,0
L.TONELLI,26,2021-2022,EMPOLI,11,SASSUOLO,EMPOLI,95',0,1,0,0,0,0,3,86,0,0,56,82,18,11,0,0,0
L.TONELLI,26,2021-2022,EMPOLI,12,EMPOLI,GENOA,96',0,0,1,0,0,0,4,49,0,0,32,84,11,2,0,0,0
L.TONELLI,26,2021-2022,EMPOLI,14,EMPOLI,FIORENTINA,98',0,0,2,1,0,1,1,72,0,1,46,78,7,5,1,0,0
L.TONELLI,26,2021-2022,EMPOLI,16,EMPOLI,UDINESE,97',0,0,2,0,0,1,4,82,0,1,55,89,26,5,1,0,0
L.TONELLI,26,2021-2022,EMPOLI,18,SPEZIA,EMPOLI,96',0,0,0,0,0,0,1,85,0,0,68,85,27,7,1,0,0
L.TONELLI,26,2021-2022,EMPOLI,21,EMPOLI,SASSUOLO,48',0,0,0,0,0,0,2,44,0,0,30,97,11,5,0,0,0
L.TONELLI,26,2021-2022,EMPOLI,22,VENEZIA,EMPOLI,95',0,0,0,0,0,0,1,51,0,0,28,76,8,5,0,0,0
