Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
M.AEBISCHER,20,2021-2022,BOLOGNA,24,BOLOGNA,EMPOLI,15',0,0,0,0,0,1,0,13,0,1,6,67,0,4,0,0,0
M.AEBISCHER,20,2021-2022,BOLOGNA,25,LAZIO,BOLOGNA,28',0,0,0,0,0,0,0,33,0,0,28,90,7,2,0,0,0
M.AEBISCHER,20,2021-2022,BOLOGNA,26,BOLOGNA,SPEZIA,9',0,0,0,0,0,0,1,3,0,0,1,50,1,0,0,0,0
M.AEBISCHER,20,2021-2022,BOLOGNA,29,FIORENTINA,BOLOGNA,17',0,0,0,0,0,0,0,10,0,0,8,89,6,1,0,0,0
M.AEBISCHER,20,2021-2022,BOLOGNA,31,MILAN,BOLOGNA,99',0,0,2,2,0,1,0,52,0,1,34,92,16,9,0,0,0
M.AEBISCHER,20,2021-2022,BOLOGNA,32,BOLOGNA,SAMPDORIA,63',0,0,0,0,0,1,1,45,0,1,32,97,19,3,0,0,0
M.AEBISCHER,20,2021-2022,BOLOGNA,33,JUVENTUS,BOLOGNA,25',0,0,0,0,0,0,0,8,0,0,4,67,2,0,0,0,0
M.AEBISCHER,20,2021-2022,BOLOGNA,34,BOLOGNA,UDINESE,36',0,0,0,0,0,0,0,19,0,0,18,100,6,1,0,0,0
M.AEBISCHER,20,2021-2022,BOLOGNA,35,ROMA,BOLOGNA,15',0,0,0,0,0,0,0,10,0,0,2,50,0,1,0,0,0
M.AEBISCHER,20,2021-2022,BOLOGNA,20,BOLOGNA,INTER,29',0,0,0,0,0,0,0,8,0,0,6,86,5,1,0,0,0
M.AEBISCHER,20,2021-2022,BOLOGNA,37,BOLOGNA,SASSUOLO,67',0,0,0,0,0,0,1,42,0,0,31,91,14,4,0,0,0
