Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
M.BARROW,99,2021-2022,BOLOGNA,1,BOLOGNA,SALERNITANA,59',0,0,0,0,0,0,1,25,0,0,14,82,12,2,0,0,0
M.BARROW,99,2021-2022,BOLOGNA,3,BOLOGNA,HELLAS VERONA,68',0,0,3,1,0,2,0,38,0,0,16,76,14,2,0,0,0
M.BARROW,99,2021-2022,BOLOGNA,4,INTER,BOLOGNA,35',0,0,1,0,0,0,0,28,1,0,16,89,16,0,0,0,0
M.BARROW,99,2021-2022,BOLOGNA,5,BOLOGNA,GENOA,65',0,0,0,0,0,0,0,36,0,0,20,87,15,2,0,0,0
M.BARROW,99,2021-2022,BOLOGNA,6,EMPOLI,BOLOGNA,96',1,0,4,2,1,3,0,43,0,0,18,69,15,0,0,0,0
M.BARROW,99,2021-2022,BOLOGNA,7,BOLOGNA,LAZIO,90',1,0,4,1,0,2,1,33,2,0,19,95,13,0,0,0,0
M.BARROW,99,2021-2022,BOLOGNA,8,UDINESE,BOLOGNA,95',1,0,6,4,0,4,1,56,0,0,30,81,21,1,0,0,0
M.BARROW,99,2021-2022,BOLOGNA,9,BOLOGNA,MILAN,65',1,0,1,1,0,2,1,42,0,0,19,79,12,2,0,0,0
M.BARROW,99,2021-2022,BOLOGNA,10,NAPOLI,BOLOGNA,82',0,0,1,0,0,1,1,32,0,0,17,94,14,1,0,0,0
M.BARROW,99,2021-2022,BOLOGNA,11,BOLOGNA,CAGLIARI,72',0,0,1,0,0,1,1,41,0,1,26,84,18,0,0,0,0
M.BARROW,99,2021-2022,BOLOGNA,12,SAMPDORIA,BOLOGNA,77',0,0,5,2,0,3,1,47,0,3,26,90,19,4,0,0,0
M.BARROW,99,2021-2022,BOLOGNA,13,BOLOGNA,VENEZIA,69',0,0,2,0,0,2,0,50,0,2,28,90,22,0,0,0,0
M.BARROW,99,2021-2022,BOLOGNA,14,SPEZIA,BOLOGNA,76',0,0,4,2,2,3,0,46,0,3,25,86,22,2,0,0,0
M.BARROW,99,2021-2022,BOLOGNA,15,BOLOGNA,ROMA,93',0,0,1,1,0,0,0,31,0,0,14,93,9,1,0,0,0
M.BARROW,99,2021-2022,BOLOGNA,16,BOLOGNA,FIORENTINA,95',1,0,2,1,0,0,2,26,0,0,9,82,4,1,0,0,0
M.BARROW,99,2021-2022,BOLOGNA,17,TORINO,BOLOGNA,67',0,0,1,1,0,1,0,32,0,1,22,85,14,3,0,0,0
M.BARROW,99,2021-2022,BOLOGNA,18,BOLOGNA,JUVENTUS,79',0,0,3,0,0,0,2,61,0,0,30,81,25,4,0,0,0
M.BARROW,99,2021-2022,BOLOGNA,19,SASSUOLO,BOLOGNA,32',0,0,2,1,0,1,0,22,0,1,11,92,10,2,0,0,0
M.BARROW,99,2021-2022,BOLOGNA,24,BOLOGNA,EMPOLI,25',0,0,0,0,0,1,0,21,0,1,11,79,6,1,0,0,0
M.BARROW,99,2021-2022,BOLOGNA,25,LAZIO,BOLOGNA,49',0,0,2,1,0,2,0,29,0,2,19,95,13,1,0,0,0
M.BARROW,99,2021-2022,BOLOGNA,26,BOLOGNA,SPEZIA,74',0,0,4,2,0,3,4,64,1,2,23,79,25,5,0,0,0
M.BARROW,99,2021-2022,BOLOGNA,27,SALERNITANA,BOLOGNA,76',0,0,1,1,0,0,1,35,0,0,16,73,9,2,0,0,0
M.BARROW,99,2021-2022,BOLOGNA,28,BOLOGNA,TORINO,76',0,0,1,0,0,0,0,40,0,0,18,82,13,4,0,0,0
M.BARROW,99,2021-2022,BOLOGNA,29,FIORENTINA,BOLOGNA,37',0,0,0,0,0,1,0,21,0,1,10,71,7,3,0,0,0
M.BARROW,99,2021-2022,BOLOGNA,30,BOLOGNA,ATALANTA,13',0,0,2,0,0,0,0,12,0,0,6,67,4,0,0,0,0
M.BARROW,99,2021-2022,BOLOGNA,31,MILAN,BOLOGNA,61',0,0,2,1,0,0,0,48,0,0,22,76,17,3,0,0,0
M.BARROW,99,2021-2022,BOLOGNA,32,BOLOGNA,SAMPDORIA,63',0,0,4,0,0,2,1,57,0,2,23,82,22,4,0,0,0
M.BARROW,99,2021-2022,BOLOGNA,33,JUVENTUS,BOLOGNA,34',0,0,0,0,0,0,1,10,0,0,5,63,3,0,0,0,0
M.BARROW,99,2021-2022,BOLOGNA,34,BOLOGNA,UDINESE,93',0,0,2,1,0,1,0,44,0,1,28,85,15,4,0,0,0
M.BARROW,99,2021-2022,BOLOGNA,35,ROMA,BOLOGNA,34',0,0,1,0,0,2,1,32,0,2,14,64,10,6,0,0,0
M.BARROW,99,2021-2022,BOLOGNA,20,BOLOGNA,INTER,81',0,0,2,0,0,2,0,40,1,1,27,87,17,8,0,0,0
M.BARROW,99,2021-2022,BOLOGNA,36,VENEZIA,BOLOGNA,72',0,0,5,3,0,3,1,51,1,2,25,93,24,6,0,0,0
M.BARROW,99,2021-2022,BOLOGNA,37,BOLOGNA,SASSUOLO,51',0,0,2,0,0,1,2,34,0,1,20,87,13,2,0,0,0
M.BARROW,99,2021-2022,BOLOGNA,38,GENOA,BOLOGNA,95',1,0,2,1,0,2,2,62,0,2,30,79,28,6,0,0,0
