Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
M.DE SCIGLIO,2,2021-2022,JUVENTUS,2,JUVENTUS,EMPOLI,13',0,0,0,0,0,0,0,18,0,0,6,67,4,4,0,0,0
M.DE SCIGLIO,2,2021-2022,JUVENTUS,3,NAPOLI,JUVENTUS,96',0,0,0,0,0,0,0,38,0,0,16,73,9,7,0,0,0
M.DE SCIGLIO,2,2021-2022,JUVENTUS,5,SPEZIA,JUVENTUS,45',0,0,0,0,0,0,0,35,0,0,19,79,15,2,0,0,0
M.DE SCIGLIO,2,2021-2022,JUVENTUS,8,JUVENTUS,ROMA,92',0,0,1,0,0,0,0,44,0,1,24,89,13,5,1,0,0
M.DE SCIGLIO,2,2021-2022,JUVENTUS,10,JUVENTUS,SASSUOLO,13',0,0,0,0,0,0,0,5,0,0,4,100,1,1,0,0,0
M.DE SCIGLIO,2,2021-2022,JUVENTUS,17,VENEZIA,JUVENTUS,95',0,0,1,0,0,2,1,74,0,2,44,83,25,7,0,0,0
M.DE SCIGLIO,2,2021-2022,JUVENTUS,19,JUVENTUS,CAGLIARI,6',0,0,0,0,0,0,0,10,0,0,9,100,6,2,0,0,0
M.DE SCIGLIO,2,2021-2022,JUVENTUS,20,JUVENTUS,NAPOLI,22',0,0,0,0,0,0,0,11,0,0,7,88,2,1,0,0,0
M.DE SCIGLIO,2,2021-2022,JUVENTUS,21,ROMA,JUVENTUS,100',1,0,1,1,0,1,0,75,0,1,43,88,20,3,0,0,0
M.DE SCIGLIO,2,2021-2022,JUVENTUS,22,JUVENTUS,UDINESE,36',0,0,1,0,0,2,1,31,1,1,14,82,13,4,0,0,0
M.DE SCIGLIO,2,2021-2022,JUVENTUS,23,MILAN,JUVENTUS,95',0,0,0,0,0,1,0,43,0,1,19,70,9,9,0,0,0
M.DE SCIGLIO,2,2021-2022,JUVENTUS,24,JUVENTUS,HELLAS VERONA,94',0,0,1,0,0,0,1,62,0,0,21,62,11,4,0,0,0
M.DE SCIGLIO,2,2021-2022,JUVENTUS,25,ATALANTA,JUVENTUS,95',0,0,0,0,0,1,1,58,0,1,30,79,17,6,0,0,0
M.DE SCIGLIO,2,2021-2022,JUVENTUS,26,JUVENTUS,TORINO,49',0,0,0,0,0,1,0,31,0,1,13,62,6,6,0,0,0
M.DE SCIGLIO,2,2021-2022,JUVENTUS,29,SAMPDORIA,JUVENTUS,9',0,0,0,0,0,0,0,6,0,0,2,100,1,0,0,0,0
M.DE SCIGLIO,2,2021-2022,JUVENTUS,30,JUVENTUS,SALERNITANA,96',0,0,0,0,0,2,0,86,1,1,59,84,24,7,0,0,0
M.DE SCIGLIO,2,2021-2022,JUVENTUS,31,JUVENTUS,INTER,24',0,0,0,0,0,1,0,16,0,1,10,91,8,2,0,0,1
M.DE SCIGLIO,2,2021-2022,JUVENTUS,33,JUVENTUS,BOLOGNA,86',0,0,1,1,0,0,0,46,0,0,26,96,15,2,0,0,0
M.DE SCIGLIO,2,2021-2022,JUVENTUS,34,SASSUOLO,JUVENTUS,96',0,0,0,0,0,3,0,50,0,3,21,91,10,4,1,0,0
M.DE SCIGLIO,2,2021-2022,JUVENTUS,36,GENOA,JUVENTUS,97',0,0,0,0,0,0,2,77,0,0,45,87,16,10,0,0,0
