Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
M.DESTRO,23,2021-2022,GENOA,3,CAGLIARI,GENOA,85',1,0,1,1,0,1,2,22,0,0,4,50,3,3,0,0,0
M.DESTRO,23,2021-2022,GENOA,4,GENOA,FIORENTINA,58',0,0,2,1,0,1,1,13,0,0,3,50,0,3,0,0,0
M.DESTRO,23,2021-2022,GENOA,5,BOLOGNA,GENOA,97',1,0,2,2,0,2,3,24,0,0,7,70,4,4,1,0,0
M.DESTRO,23,2021-2022,GENOA,6,GENOA,HELLAS VERONA,97',2,0,3,2,0,2,2,34,0,0,14,58,6,4,0,0,0
M.DESTRO,23,2021-2022,GENOA,8,GENOA,SASSUOLO,101',1,0,5,1,0,1,1,27,0,0,10,67,6,3,1,0,0
M.DESTRO,23,2021-2022,GENOA,9,TORINO,GENOA,79',1,0,4,2,0,3,1,37,0,0,12,63,7,7,0,0,0
M.DESTRO,23,2021-2022,GENOA,10,SPEZIA,GENOA,95',0,0,3,1,0,0,0,37,0,0,9,45,6,7,0,0,0
M.DESTRO,23,2021-2022,GENOA,11,GENOA,VENEZIA,56',0,0,2,1,0,0,0,15,0,1,5,71,3,2,0,0,0
M.DESTRO,23,2021-2022,GENOA,17,GENOA,SAMPDORIA,41',1,0,2,1,0,0,3,12,0,0,2,50,2,0,0,0,0
M.DESTRO,23,2021-2022,GENOA,18,LAZIO,GENOA,96',0,0,0,0,0,1,1,30,0,1,16,70,3,4,0,0,0
M.DESTRO,23,2021-2022,GENOA,19,GENOA,ATALANTA,74',0,0,0,0,0,0,1,24,0,0,5,38,4,1,0,0,0
M.DESTRO,23,2021-2022,GENOA,20,SASSUOLO,GENOA,76',1,0,1,1,0,0,0,34,0,0,16,70,8,1,0,0,0
M.DESTRO,23,2021-2022,GENOA,21,GENOA,SPEZIA,94',0,0,5,1,0,1,3,32,0,1,9,60,5,1,1,0,0
M.DESTRO,23,2021-2022,GENOA,22,FIORENTINA,GENOA,82',0,0,0,0,0,0,2,23,0,0,13,87,5,1,0,0,0
M.DESTRO,23,2021-2022,GENOA,23,GENOA,UDINESE,68',0,0,0,0,0,1,1,27,0,1,6,35,6,1,0,0,0
M.DESTRO,23,2021-2022,GENOA,24,ROMA,GENOA,58',0,0,0,0,0,0,0,21,0,0,8,57,6,3,0,0,0
M.DESTRO,23,2021-2022,GENOA,25,GENOA,SALERNITANA,70',1,0,5,3,0,0,1,30,0,0,8,67,5,4,0,0,0
M.DESTRO,23,2021-2022,GENOA,26,VENEZIA,GENOA,76',0,0,0,0,0,1,1,24,1,0,6,46,4,0,0,0,0
M.DESTRO,23,2021-2022,GENOA,28,GENOA,EMPOLI,39',0,0,3,1,0,0,0,15,0,0,2,67,2,1,0,0,0
M.DESTRO,23,2021-2022,GENOA,29,ATALANTA,GENOA,23',0,0,1,0,0,2,0,17,0,2,4,40,3,2,0,0,0
M.DESTRO,23,2021-2022,GENOA,30,GENOA,TORINO,46',0,0,2,0,0,0,3,25,0,0,4,36,3,0,0,0,0
