Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
M.PJACA,11,2021-2022,TORINO,1,TORINO,ATALANTA,75',0,0,1,0,1,0,0,38,0,2,17,68,15,1,0,0,0
M.PJACA,11,2021-2022,TORINO,2,FIORENTINA,TORINO,30',0,0,0,0,0,0,1,8,0,0,3,100,2,1,0,0,0
M.PJACA,11,2021-2022,TORINO,3,TORINO,SALERNITANA,79',0,0,2,2,0,0,0,33,0,0,13,62,11,3,0,0,0
M.PJACA,11,2021-2022,TORINO,4,SASSUOLO,TORINO,19',1,0,1,1,0,1,0,9,0,0,4,67,4,0,0,0,0
M.PJACA,11,2021-2022,TORINO,5,TORINO,LAZIO,21',1,0,2,2,0,2,0,15,0,1,2,33,2,3,0,0,0
M.PJACA,11,2021-2022,TORINO,12,SPEZIA,TORINO,38',0,0,2,0,0,0,1,10,0,0,3,75,3,0,0,0,0
M.PJACA,11,2021-2022,TORINO,13,TORINO,UDINESE,12',0,0,0,0,0,0,1,7,0,0,2,100,2,1,0,0,0
M.PJACA,11,2021-2022,TORINO,14,ROMA,TORINO,19',0,0,0,0,0,0,0,7,0,0,3,75,3,1,0,0,0
M.PJACA,11,2021-2022,TORINO,15,TORINO,EMPOLI,35',1,0,2,1,0,0,1,24,0,0,14,82,13,4,0,0,0
M.PJACA,11,2021-2022,TORINO,16,CAGLIARI,TORINO,95',0,0,0,0,0,2,1,53,0,2,24,80,20,8,0,0,0
M.PJACA,11,2021-2022,TORINO,17,TORINO,BOLOGNA,83',0,0,0,0,0,2,0,40,0,2,28,80,22,5,0,0,0
