Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
M.POLITANO,21,2021-2022,NAPOLI,1,NAPOLI,VENEZIA,73',0,0,1,1,0,1,3,42,0,0,26,84,16,0,0,0,0
M.POLITANO,21,2021-2022,NAPOLI,2,GENOA,NAPOLI,83',0,0,2,2,0,0,3,62,1,1,24,77,19,3,1,0,0
M.POLITANO,21,2021-2022,NAPOLI,3,NAPOLI,JUVENTUS,73',1,0,5,1,0,1,3,59,0,0,26,81,23,4,0,0,0
M.POLITANO,21,2021-2022,NAPOLI,4,UDINESE,NAPOLI,72',0,0,0,0,0,0,1,35,0,2,17,74,18,1,0,0,0
M.POLITANO,21,2021-2022,NAPOLI,5,SAMPDORIA,NAPOLI,22',0,0,0,0,0,0,0,13,0,0,9,90,9,0,0,0,0
M.POLITANO,21,2021-2022,NAPOLI,6,NAPOLI,CAGLIARI,69',0,0,2,1,0,0,2,47,0,0,29,85,22,0,0,0,0
M.POLITANO,21,2021-2022,NAPOLI,7,FIORENTINA,NAPOLI,37',0,0,1,0,0,1,1,26,0,0,8,67,5,2,0,0,0
M.POLITANO,21,2021-2022,NAPOLI,8,NAPOLI,TORINO,61',0,0,1,0,0,0,1,33,0,0,12,63,9,0,0,0,0
M.POLITANO,21,2021-2022,NAPOLI,9,ROMA,NAPOLI,74',0,0,1,0,0,0,1,39,0,1,22,85,15,1,0,0,0
M.POLITANO,21,2021-2022,NAPOLI,10,NAPOLI,BOLOGNA,24',0,0,0,0,0,0,0,21,0,0,17,89,14,0,0,0,0
M.POLITANO,21,2021-2022,NAPOLI,11,SALERNITANA,NAPOLI,83',0,0,2,0,0,1,0,41,0,1,19,73,12,1,0,0,0
M.POLITANO,21,2021-2022,NAPOLI,12,NAPOLI,HELLAS VERONA,62',0,0,2,0,0,1,2,31,0,1,12,71,7,6,0,0,0
M.POLITANO,21,2021-2022,NAPOLI,15,SASSUOLO,NAPOLI,29',0,0,1,0,0,0,0,7,0,0,1,50,0,1,1,0,0
M.POLITANO,21,2021-2022,NAPOLI,16,NAPOLI,ATALANTA,9',0,0,0,0,0,1,1,16,0,1,6,75,4,1,0,0,0
M.POLITANO,21,2021-2022,NAPOLI,17,NAPOLI,EMPOLI,34',0,0,3,1,0,1,0,26,0,1,12,80,9,1,0,0,0
M.POLITANO,21,2021-2022,NAPOLI,18,MILAN,NAPOLI,19',0,0,0,0,0,0,0,10,0,0,1,17,0,3,0,0,0
M.POLITANO,21,2021-2022,NAPOLI,19,NAPOLI,SPEZIA,88',0,0,2,0,0,2,0,63,0,2,32,80,23,2,0,0,0
M.POLITANO,21,2021-2022,NAPOLI,20,JUVENTUS,NAPOLI,77',0,0,4,0,0,1,0,53,1,0,27,73,24,2,0,0,0
M.POLITANO,21,2021-2022,NAPOLI,21,NAPOLI,SAMPDORIA,66',0,0,4,0,0,2,2,44,0,2,29,94,22,1,0,0,0
M.POLITANO,21,2021-2022,NAPOLI,22,BOLOGNA,NAPOLI,24',0,0,0,0,0,0,0,12,0,0,3,60,1,2,0,0,0
M.POLITANO,21,2021-2022,NAPOLI,23,NAPOLI,SALERNITANA,26',0,0,2,1,0,1,1,42,0,1,34,94,33,1,0,0,0
M.POLITANO,21,2021-2022,NAPOLI,24,VENEZIA,NAPOLI,79',0,0,1,0,0,2,0,46,1,1,18,62,19,2,0,0,0
M.POLITANO,21,2021-2022,NAPOLI,25,NAPOLI,INTER,26',0,0,0,0,0,0,0,13,0,0,6,67,2,3,0,0,0
M.POLITANO,21,2021-2022,NAPOLI,27,LAZIO,NAPOLI,84',0,0,1,1,0,2,2,42,0,2,23,88,18,2,0,0,0
M.POLITANO,21,2021-2022,NAPOLI,28,NAPOLI,MILAN,71',0,0,1,0,0,0,0,30,0,0,9,69,10,2,0,0,0
M.POLITANO,21,2021-2022,NAPOLI,29,HELLAS VERONA,NAPOLI,65',0,0,0,0,0,1,1,27,1,0,6,50,7,3,0,0,0
M.POLITANO,21,2021-2022,NAPOLI,30,NAPOLI,UDINESE,71',0,0,3,1,0,4,0,47,0,4,15,71,16,2,0,0,0
M.POLITANO,21,2021-2022,NAPOLI,31,ATALANTA,NAPOLI,62',1,0,1,1,0,0,0,27,0,0,11,73,6,2,0,0,0
