Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
N.DOMINGUEZ,8,2021-2022,BOLOGNA,1,BOLOGNA,SALERNITANA,88',0,0,3,1,1,1,3,70,0,0,43,80,31,7,0,0,0
N.DOMINGUEZ,8,2021-2022,BOLOGNA,2,ATALANTA,BOLOGNA,100',0,0,0,0,0,0,2,48,0,0,17,68,8,17,1,0,0
N.DOMINGUEZ,8,2021-2022,BOLOGNA,3,BOLOGNA,HELLAS VERONA,98',0,0,0,0,0,1,2,56,0,0,27,87,12,16,1,0,0
N.DOMINGUEZ,8,2021-2022,BOLOGNA,4,INTER,BOLOGNA,70',0,0,0,0,0,0,0,53,0,0,42,93,23,3,0,0,0
N.DOMINGUEZ,8,2021-2022,BOLOGNA,5,BOLOGNA,GENOA,97',0,0,1,0,0,0,1,85,0,0,62,86,34,5,1,0,0
N.DOMINGUEZ,8,2021-2022,BOLOGNA,6,EMPOLI,BOLOGNA,79',0,0,0,0,0,0,3,53,0,1,27,73,13,6,0,0,0
N.DOMINGUEZ,8,2021-2022,BOLOGNA,7,BOLOGNA,LAZIO,96',0,0,0,0,0,0,2,49,0,0,33,92,9,9,0,0,0
N.DOMINGUEZ,8,2021-2022,BOLOGNA,8,UDINESE,BOLOGNA,95',0,0,0,0,0,0,3,76,1,0,54,95,27,5,1,0,0
N.DOMINGUEZ,8,2021-2022,BOLOGNA,9,BOLOGNA,MILAN,65',0,0,0,0,0,0,1,52,0,1,36,90,19,4,0,0,0
N.DOMINGUEZ,8,2021-2022,BOLOGNA,10,NAPOLI,BOLOGNA,77',0,0,1,0,0,1,1,52,0,0,35,88,13,6,0,0,0
N.DOMINGUEZ,8,2021-2022,BOLOGNA,11,BOLOGNA,CAGLIARI,97',0,0,1,0,0,1,2,78,0,0,60,90,30,3,0,0,0
N.DOMINGUEZ,8,2021-2022,BOLOGNA,12,SAMPDORIA,BOLOGNA,84',0,0,0,0,0,1,0,82,0,1,63,85,30,7,0,0,0
N.DOMINGUEZ,8,2021-2022,BOLOGNA,13,BOLOGNA,VENEZIA,87',0,0,1,0,0,2,3,74,0,2,45,85,33,7,0,0,0
N.DOMINGUEZ,8,2021-2022,BOLOGNA,14,SPEZIA,BOLOGNA,86',0,0,0,0,0,4,3,81,0,4,56,89,34,6,0,0,0
N.DOMINGUEZ,8,2021-2022,BOLOGNA,15,BOLOGNA,ROMA,93',0,0,0,0,0,2,2,64,1,1,39,83,19,11,0,0,0
