Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
O.COLLEY,15,2021-2022,SAMPDORIA,1,SAMPDORIA,MILAN,96',0,0,0,0,0,0,2,48,0,0,33,85,13,9,0,0,0
O.COLLEY,15,2021-2022,SAMPDORIA,2,SASSUOLO,SAMPDORIA,94',0,0,1,1,0,0,1,47,0,0,26,76,4,9,0,0,0
O.COLLEY,15,2021-2022,SAMPDORIA,3,SAMPDORIA,INTER,99',0,0,1,0,0,0,2,68,0,0,43,88,15,12,1,0,0
O.COLLEY,15,2021-2022,SAMPDORIA,4,EMPOLI,SAMPDORIA,82',0,0,0,0,0,0,1,36,0,0,22,79,4,4,0,0,0
O.COLLEY,15,2021-2022,SAMPDORIA,5,SAMPDORIA,NAPOLI,91',0,0,0,0,0,0,1,68,0,0,55,95,19,6,0,0,0
O.COLLEY,15,2021-2022,SAMPDORIA,6,JUVENTUS,SAMPDORIA,96',0,0,0,0,0,0,5,80,0,0,46,82,21,14,0,0,0
O.COLLEY,15,2021-2022,SAMPDORIA,7,SAMPDORIA,UDINESE,96',0,0,0,0,0,0,2,77,0,0,53,93,14,14,0,0,0
O.COLLEY,15,2021-2022,SAMPDORIA,8,CAGLIARI,SAMPDORIA,98',0,0,3,0,0,1,0,72,0,0,48,86,11,15,0,0,0
O.COLLEY,15,2021-2022,SAMPDORIA,9,SAMPDORIA,SPEZIA,97',0,0,0,0,0,0,2,54,0,0,26,70,10,20,1,0,0
O.COLLEY,15,2021-2022,SAMPDORIA,10,SAMPDORIA,ATALANTA,66',0,0,0,0,0,0,4,47,0,0,27,73,7,7,1,0,0
O.COLLEY,15,2021-2022,SAMPDORIA,11,TORINO,SAMPDORIA,12',0,0,0,0,0,0,1,4,0,0,2,100,2,1,0,0,0
O.COLLEY,15,2021-2022,SAMPDORIA,12,SAMPDORIA,BOLOGNA,74',0,0,0,0,0,0,1,54,0,0,28,74,10,5,1,0,0
O.COLLEY,15,2021-2022,SAMPDORIA,13,SALERNITANA,SAMPDORIA,96',0,0,0,0,0,0,1,47,0,0,24,77,6,4,0,0,0
O.COLLEY,15,2021-2022,SAMPDORIA,14,SAMPDORIA,HELLAS VERONA,97',0,0,0,0,0,0,0,44,0,0,24,80,9,6,0,0,0
O.COLLEY,15,2021-2022,SAMPDORIA,15,FIORENTINA,SAMPDORIA,94',0,0,0,0,0,0,1,64,0,0,36,78,3,9,1,0,0
O.COLLEY,15,2021-2022,SAMPDORIA,17,GENOA,SAMPDORIA,99',0,0,0,0,0,0,0,64,0,0,34,69,2,8,0,0,0
O.COLLEY,15,2021-2022,SAMPDORIA,18,SAMPDORIA,VENEZIA,95',0,0,0,0,0,0,1,44,0,0,29,85,10,3,0,0,0
O.COLLEY,15,2021-2022,SAMPDORIA,19,ROMA,SAMPDORIA,98',0,0,1,0,1,0,0,68,0,0,45,85,2,5,0,0,0
O.COLLEY,15,2021-2022,SAMPDORIA,24,SAMPDORIA,SASSUOLO,99',0,0,1,0,0,0,0,39,0,0,23,82,4,5,0,0,0
O.COLLEY,15,2021-2022,SAMPDORIA,25,MILAN,SAMPDORIA,98',0,0,0,0,0,0,0,68,0,0,45,83,14,6,0,0,0
O.COLLEY,15,2021-2022,SAMPDORIA,26,SAMPDORIA,EMPOLI,93',0,0,1,0,0,0,0,35,0,0,16,73,2,5,0,0,0
O.COLLEY,15,2021-2022,SAMPDORIA,27,ATALANTA,SAMPDORIA,92',0,0,0,0,0,0,0,80,0,0,57,89,10,3,0,0,0
O.COLLEY,15,2021-2022,SAMPDORIA,28,UDINESE,SAMPDORIA,97',0,0,0,0,0,0,1,99,0,0,67,85,9,4,0,0,0
O.COLLEY,15,2021-2022,SAMPDORIA,29,SAMPDORIA,JUVENTUS,94',0,0,1,0,0,0,0,61,0,0,48,94,17,4,0,0,0
O.COLLEY,15,2021-2022,SAMPDORIA,30,VENEZIA,SAMPDORIA,91',0,0,0,0,0,0,1,54,0,0,33,77,12,4,0,0,0
O.COLLEY,15,2021-2022,SAMPDORIA,31,SAMPDORIA,ROMA,96',0,0,0,0,0,0,0,55,0,0,36,80,10,3,0,0,0
O.COLLEY,15,2021-2022,SAMPDORIA,32,BOLOGNA,SAMPDORIA,96',0,0,0,0,0,0,0,55,0,0,40,89,11,4,0,0,0
O.COLLEY,15,2021-2022,SAMPDORIA,33,SAMPDORIA,SALERNITANA,98',0,0,0,0,0,0,2,100,0,0,83,90,29,3,0,0,0
O.COLLEY,15,2021-2022,SAMPDORIA,34,HELLAS VERONA,SAMPDORIA,95',0,0,0,0,0,0,2,40,0,0,30,91,6,4,0,0,0
O.COLLEY,15,2021-2022,SAMPDORIA,35,SAMPDORIA,GENOA,102',0,0,0,0,0,0,0,50,0,0,29,76,5,8,0,0,0
