Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
P.STOJANOVIC,30,2021-2022,EMPOLI,1,EMPOLI,LAZIO,82',0,0,0,0,0,0,0,72,0,1,31,79,18,4,1,0,0
P.STOJANOVIC,30,2021-2022,EMPOLI,2,JUVENTUS,EMPOLI,96',0,0,0,0,0,0,0,76,0,0,36,86,17,5,1,0,0
P.STOJANOVIC,30,2021-2022,EMPOLI,3,EMPOLI,VENEZIA,87',0,0,0,0,0,0,1,80,0,0,34,81,19,6,0,0,0
P.STOJANOVIC,30,2021-2022,EMPOLI,4,EMPOLI,SAMPDORIA,94',0,0,0,0,0,0,1,97,0,0,50,79,26,5,0,0,0
P.STOJANOVIC,30,2021-2022,EMPOLI,5,CAGLIARI,EMPOLI,65',0,0,0,0,0,0,1,61,0,0,34,87,19,4,0,0,0
P.STOJANOVIC,30,2021-2022,EMPOLI,6,EMPOLI,BOLOGNA,96',0,0,1,1,0,0,0,54,1,1,27,77,23,2,0,0,0
P.STOJANOVIC,30,2021-2022,EMPOLI,7,ROMA,EMPOLI,94',0,0,0,0,0,0,1,72,0,0,36,92,17,5,1,0,0
P.STOJANOVIC,30,2021-2022,EMPOLI,8,EMPOLI,ATALANTA,95',0,0,0,0,0,0,1,85,0,0,42,81,26,11,0,0,0
P.STOJANOVIC,30,2021-2022,EMPOLI,9,SALERNITANA,EMPOLI,47',0,0,0,0,0,0,0,40,0,0,19,76,10,3,1,0,0
P.STOJANOVIC,30,2021-2022,EMPOLI,10,EMPOLI,INTER,82',0,0,1,1,0,1,0,53,0,0,28,80,15,2,0,0,0
P.STOJANOVIC,30,2021-2022,EMPOLI,11,SASSUOLO,EMPOLI,95',0,0,1,0,0,1,1,58,0,0,26,90,9,5,1,0,0
P.STOJANOVIC,30,2021-2022,EMPOLI,14,EMPOLI,FIORENTINA,98',0,0,0,0,0,0,1,72,0,0,25,69,11,9,0,0,0
P.STOJANOVIC,30,2021-2022,EMPOLI,15,TORINO,EMPOLI,97',0,0,0,0,0,1,1,78,0,1,38,78,28,5,0,0,0
P.STOJANOVIC,30,2021-2022,EMPOLI,16,EMPOLI,UDINESE,97',1,0,2,1,0,0,0,72,0,0,37,80,16,8,0,0,0
P.STOJANOVIC,30,2021-2022,EMPOLI,17,NAPOLI,EMPOLI,99',0,0,0,0,0,3,0,70,0,3,28,80,13,5,0,0,0
P.STOJANOVIC,30,2021-2022,EMPOLI,18,SPEZIA,EMPOLI,96',0,0,2,1,0,3,2,108,0,3,63,85,39,7,0,0,0
P.STOJANOVIC,30,2021-2022,EMPOLI,19,EMPOLI,MILAN,47',0,0,0,0,0,1,0,54,0,1,21,75,12,3,0,0,0
P.STOJANOVIC,30,2021-2022,EMPOLI,20,LAZIO,EMPOLI,100',0,0,0,0,0,0,1,64,0,0,27,79,12,6,0,0,0
P.STOJANOVIC,30,2021-2022,EMPOLI,21,EMPOLI,SASSUOLO,95',0,0,1,0,0,2,2,101,0,2,57,84,27,4,0,0,0
