Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
PEDRO,9,2021-2022,LAZIO,1,EMPOLI,LAZIO,60',0,0,0,0,0,0,1,49,0,0,29,83,23,6,0,0,0
PEDRO,9,2021-2022,LAZIO,2,LAZIO,SPEZIA,74',0,0,3,3,0,2,1,42,1,0,24,80,16,0,0,0,0
PEDRO,9,2021-2022,LAZIO,3,MILAN,LAZIO,90',0,0,0,0,0,0,1,77,0,0,49,89,22,2,0,0,0
PEDRO,9,2021-2022,LAZIO,4,LAZIO,CAGLIARI,67',0,0,3,1,0,0,1,45,0,0,23,77,16,1,0,0,0
PEDRO,9,2021-2022,LAZIO,5,TORINO,LAZIO,49',0,0,0,0,0,1,2,24,0,0,10,67,7,1,0,0,0
PEDRO,9,2021-2022,LAZIO,6,LAZIO,ROMA,97',1,0,1,1,0,1,1,47,0,0,29,83,15,3,0,0,0
PEDRO,9,2021-2022,LAZIO,7,BOLOGNA,LAZIO,96',0,0,1,1,0,0,1,51,0,0,35,90,29,1,1,0,0
PEDRO,9,2021-2022,LAZIO,8,LAZIO,INTER,76',0,0,3,0,0,1,1,50,0,0,35,92,25,0,0,0,0
PEDRO,9,2021-2022,LAZIO,9,HELLAS VERONA,LAZIO,64',0,0,0,0,0,0,0,31,0,0,24,83,15,0,0,0,0
PEDRO,9,2021-2022,LAZIO,10,LAZIO,FIORENTINA,84',1,0,1,1,0,0,2,42,0,1,28,93,13,1,0,0,0
PEDRO,9,2021-2022,LAZIO,11,ATALANTA,LAZIO,97',1,0,1,1,0,1,0,59,0,0,29,81,17,1,0,0,0
PEDRO,9,2021-2022,LAZIO,12,LAZIO,SALERNITANA,90',1,0,1,1,0,4,1,66,1,4,48,94,31,4,0,0,0
PEDRO,9,2021-2022,LAZIO,13,LAZIO,JUVENTUS,100',0,0,1,0,0,1,1,57,0,1,31,84,25,5,0,0,0
PEDRO,9,2021-2022,LAZIO,14,NAPOLI,LAZIO,76',0,0,0,0,0,1,1,44,0,1,33,89,20,6,0,0,0
PEDRO,9,2021-2022,LAZIO,15,LAZIO,UDINESE,102',1,0,2,1,0,2,0,49,0,2,32,84,24,2,0,0,0
PEDRO,9,2021-2022,LAZIO,16,SAMPDORIA,LAZIO,64',0,0,0,0,0,1,1,29,0,1,21,95,16,4,0,0,0
PEDRO,9,2021-2022,LAZIO,17,SASSUOLO,LAZIO,46',0,0,0,0,0,1,0,32,1,0,19,86,8,6,0,0,0
PEDRO,9,2021-2022,LAZIO,18,LAZIO,GENOA,96',1,0,3,2,0,2,2,63,0,2,34,81,21,6,0,0,0
PEDRO,9,2021-2022,LAZIO,19,VENEZIA,LAZIO,97',1,0,2,1,0,0,2,61,0,0,32,84,23,3,1,0,0
PEDRO,9,2021-2022,LAZIO,20,LAZIO,EMPOLI,62',0,0,2,0,0,1,0,42,0,1,26,93,20,2,1,0,0
PEDRO,9,2021-2022,LAZIO,21,INTER,LAZIO,95',0,0,1,0,0,1,3,41,0,1,20,77,11,2,0,0,0
PEDRO,9,2021-2022,LAZIO,22,SALERNITANA,LAZIO,40',0,0,0,0,0,2,0,23,1,1,17,94,7,1,0,0,0
