Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
R.KRUNIC,33,2021-2022,MILAN,1,SAMPDORIA,MILAN,96',0,0,1,0,0,1,3,70,0,0,45,87,23,8,0,0,0
R.KRUNIC,33,2021-2022,MILAN,2,MILAN,CAGLIARI,96',0,0,0,0,0,0,0,67,0,0,56,95,33,6,0,0,0
R.KRUNIC,33,2021-2022,MILAN,8,MILAN,HELLAS VERONA,50',0,0,0,0,0,0,0,27,0,0,14,88,12,3,0,0,0
R.KRUNIC,33,2021-2022,MILAN,9,BOLOGNA,MILAN,62',0,0,0,0,0,0,1,23,0,0,16,84,14,3,0,0,0
R.KRUNIC,33,2021-2022,MILAN,10,MILAN,TORINO,66',0,0,2,0,0,0,1,31,1,0,11,65,7,4,0,0,0
R.KRUNIC,33,2021-2022,MILAN,11,ROMA,MILAN,78',0,0,0,0,0,0,2,30,0,0,18,90,11,2,0,0,0
R.KRUNIC,33,2021-2022,MILAN,12,MILAN,INTER,86',0,0,0,0,0,1,0,23,0,1,12,71,7,2,0,0,0
R.KRUNIC,33,2021-2022,MILAN,13,FIORENTINA,MILAN,16',0,0,0,0,0,0,1,10,0,0,7,78,3,2,0,0,0
R.KRUNIC,33,2021-2022,MILAN,15,GENOA,MILAN,97',0,0,2,0,0,0,2,60,0,0,47,96,29,5,0,0,0
R.KRUNIC,33,2021-2022,MILAN,16,MILAN,SALERNITANA,80',0,0,1,1,0,1,1,43,0,1,29,91,19,4,0,0,0
R.KRUNIC,33,2021-2022,MILAN,17,UDINESE,MILAN,46',0,0,0,0,0,0,1,27,0,0,18,86,11,2,0,0,0
R.KRUNIC,33,2021-2022,MILAN,18,MILAN,NAPOLI,63',0,0,0,0,0,2,2,37,0,2,18,67,15,4,0,0,0
R.KRUNIC,33,2021-2022,MILAN,19,EMPOLI,MILAN,14',0,0,1,0,0,0,0,5,0,0,1,100,1,0,0,0,0
R.KRUNIC,33,2021-2022,MILAN,20,MILAN,ROMA,69',0,0,0,0,0,0,1,24,0,0,7,100,2,2,1,0,0
R.KRUNIC,33,2021-2022,MILAN,22,MILAN,SPEZIA,99',0,0,0,0,0,2,1,47,0,2,25,83,15,7,0,0,0
R.KRUNIC,33,2021-2022,MILAN,23,MILAN,JUVENTUS,95',0,0,1,0,0,0,1,53,0,0,34,85,23,6,0,0,0
R.KRUNIC,33,2021-2022,MILAN,24,INTER,MILAN,16',0,0,0,0,0,0,0,1,0,0,1,100,1,0,1,0,0
R.KRUNIC,33,2021-2022,MILAN,25,MILAN,SAMPDORIA,18',0,0,0,0,0,0,1,10,0,0,5,83,2,4,0,0,0
R.KRUNIC,33,2021-2022,MILAN,28,NAPOLI,MILAN,27',0,0,0,0,0,1,0,13,0,1,5,63,2,3,0,0,0
R.KRUNIC,33,2021-2022,MILAN,29,MILAN,EMPOLI,7',0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
R.KRUNIC,33,2021-2022,MILAN,30,CAGLIARI,MILAN,23',0,0,0,0,0,0,0,16,0,0,13,100,8,2,0,0,0
