Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
R.RODRIGUEZ,13,2021-2022,TORINO,1,TORINO,ATALANTA,96',0,0,0,0,0,0,1,48,0,0,34,83,13,7,0,0,0
R.RODRIGUEZ,13,2021-2022,TORINO,2,FIORENTINA,TORINO,100',0,0,0,0,0,0,0,48,0,0,39,91,13,4,0,0,0
R.RODRIGUEZ,13,2021-2022,TORINO,3,TORINO,SALERNITANA,67',0,0,0,0,0,0,0,63,0,0,53,91,33,8,0,0,0
R.RODRIGUEZ,13,2021-2022,TORINO,4,SASSUOLO,TORINO,96',0,0,0,0,0,0,0,48,0,1,33,89,12,5,1,0,0
R.RODRIGUEZ,13,2021-2022,TORINO,5,TORINO,LAZIO,96',0,0,0,0,0,0,0,54,0,0,34,85,15,5,0,0,0
R.RODRIGUEZ,13,2021-2022,TORINO,6,VENEZIA,TORINO,97',0,0,1,0,0,0,0,67,0,0,55,93,26,7,0,0,0
R.RODRIGUEZ,13,2021-2022,TORINO,7,TORINO,JUVENTUS,94',0,0,0,0,0,0,0,65,0,0,49,89,26,1,0,0,0
R.RODRIGUEZ,13,2021-2022,TORINO,8,NAPOLI,TORINO,69',0,0,0,0,0,0,0,51,0,1,36,88,15,2,1,0,0
R.RODRIGUEZ,13,2021-2022,TORINO,10,MILAN,TORINO,50',0,0,0,0,0,0,0,36,0,0,26,93,19,3,0,0,0
R.RODRIGUEZ,13,2021-2022,TORINO,11,TORINO,SAMPDORIA,7',0,0,0,0,0,0,0,6,0,0,2,67,0,0,0,0,0
R.RODRIGUEZ,13,2021-2022,TORINO,12,SPEZIA,TORINO,97',0,0,0,0,0,0,1,72,0,0,46,82,25,7,0,0,0
R.RODRIGUEZ,13,2021-2022,TORINO,16,CAGLIARI,TORINO,29',0,0,0,0,0,0,1,26,0,0,11,69,7,3,0,0,0
R.RODRIGUEZ,13,2021-2022,TORINO,17,TORINO,BOLOGNA,93',0,0,0,0,0,0,0,54,0,0,33,83,17,7,0,0,0
R.RODRIGUEZ,13,2021-2022,TORINO,18,TORINO,HELLAS VERONA,81',0,0,1,0,0,1,1,63,0,1,49,96,31,6,0,0,0
R.RODRIGUEZ,13,2021-2022,TORINO,19,INTER,TORINO,29',0,0,0,0,0,0,0,15,0,0,12,100,6,0,0,0,0
R.RODRIGUEZ,13,2021-2022,TORINO,21,TORINO,FIORENTINA,91',0,0,0,0,0,0,0,39,0,0,30,88,8,3,0,0,0
R.RODRIGUEZ,13,2021-2022,TORINO,22,SAMPDORIA,TORINO,98',0,0,1,0,0,1,0,69,0,1,47,82,26,8,0,0,0
R.RODRIGUEZ,13,2021-2022,TORINO,23,TORINO,SASSUOLO,94',0,0,0,0,0,0,1,49,0,0,34,87,12,9,0,0,0
R.RODRIGUEZ,13,2021-2022,TORINO,24,UDINESE,TORINO,97',0,0,0,0,0,0,0,58,0,0,41,82,14,5,0,0,0
R.RODRIGUEZ,13,2021-2022,TORINO,25,TORINO,VENEZIA,106',0,0,2,0,0,1,0,82,0,1,58,88,38,6,0,0,0
R.RODRIGUEZ,13,2021-2022,TORINO,26,JUVENTUS,TORINO,95',0,0,0,0,0,0,0,59,0,0,39,83,27,2,0,0,0
R.RODRIGUEZ,13,2021-2022,TORINO,27,TORINO,CAGLIARI,99',0,0,0,0,0,0,0,54,0,0,37,77,9,10,0,0,0
R.RODRIGUEZ,13,2021-2022,TORINO,28,BOLOGNA,TORINO,94',0,0,1,0,0,1,0,46,0,1,27,73,17,6,1,0,0
R.RODRIGUEZ,13,2021-2022,TORINO,29,TORINO,INTER,20',0,0,0,0,0,0,2,4,0,0,1,50,0,1,0,0,0
R.RODRIGUEZ,13,2021-2022,TORINO,30,GENOA,TORINO,81',0,0,0,0,0,1,0,88,0,1,77,95,41,5,0,0,0
