Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
T.TESSMANN,8,2021-2022,VENEZIA,1,NAPOLI,VENEZIA,30',0,0,0,0,0,0,0,17,0,0,12,80,8,0,1,0,0
T.TESSMANN,8,2021-2022,VENEZIA,5,MILAN,VENEZIA,12',0,0,0,0,0,0,0,5,0,0,3,100,0,1,0,0,0
T.TESSMANN,8,2021-2022,VENEZIA,9,SASSUOLO,VENEZIA,25',0,0,0,0,0,0,0,17,0,0,10,77,5,2,0,0,0
T.TESSMANN,8,2021-2022,VENEZIA,11,GENOA,VENEZIA,94',0,0,2,0,0,0,0,45,0,0,26,81,5,4,0,0,0
T.TESSMANN,8,2021-2022,VENEZIA,12,VENEZIA,ROMA,19',0,0,0,0,0,0,1,12,0,0,2,29,1,2,0,0,0
T.TESSMANN,8,2021-2022,VENEZIA,13,BOLOGNA,VENEZIA,36',0,0,2,1,0,1,0,11,0,1,3,38,0,0,0,0,0
T.TESSMANN,8,2021-2022,VENEZIA,14,VENEZIA,INTER,26',0,0,1,0,0,0,0,16,0,0,9,82,5,3,0,0,0
T.TESSMANN,8,2021-2022,VENEZIA,15,ATALANTA,VENEZIA,91',0,0,1,1,0,0,0,45,0,0,20,69,13,8,0,0,0
T.TESSMANN,8,2021-2022,VENEZIA,16,VENEZIA,HELLAS VERONA,20',0,0,0,0,0,0,0,13,0,0,7,78,5,3,0,0,0
T.TESSMANN,8,2021-2022,VENEZIA,17,VENEZIA,JUVENTUS,29',0,0,0,0,0,0,0,9,0,0,3,75,2,2,0,0,0
T.TESSMANN,8,2021-2022,VENEZIA,18,SAMPDORIA,VENEZIA,58',0,0,1,0,0,0,1,29,0,0,15,88,7,4,0,0,0
T.TESSMANN,8,2021-2022,VENEZIA,19,VENEZIA,LAZIO,24',0,0,0,0,0,0,1,17,0,0,10,91,6,5,0,0,1
T.TESSMANN,8,2021-2022,VENEZIA,22,VENEZIA,EMPOLI,34',0,0,0,0,0,0,0,8,0,0,5,83,3,1,0,0,0
