Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
V.CHIRICHES,21,2021-2022,SASSUOLO,1,HELLAS VERONA,SASSUOLO,95',0,0,1,0,0,0,0,73,0,0,58,97,12,5,0,0,0
V.CHIRICHES,21,2021-2022,SASSUOLO,2,SASSUOLO,SAMPDORIA,94',0,0,0,0,0,0,1,59,0,0,48,91,13,6,1,0,0
V.CHIRICHES,21,2021-2022,SASSUOLO,3,ROMA,SASSUOLO,98',0,0,0,0,0,0,0,73,0,0,59,97,11,4,1,0,0
V.CHIRICHES,21,2021-2022,SASSUOLO,4,SASSUOLO,TORINO,96',0,0,0,0,0,0,2,60,0,0,42,89,9,11,0,0,0
V.CHIRICHES,21,2021-2022,SASSUOLO,6,SASSUOLO,SALERNITANA,99',0,0,0,0,0,0,1,52,0,0,37,95,8,8,0,0,0
V.CHIRICHES,21,2021-2022,SASSUOLO,7,SASSUOLO,INTER,95',0,0,1,0,0,0,1,67,0,0,47,89,9,5,0,0,0
V.CHIRICHES,21,2021-2022,SASSUOLO,8,GENOA,SASSUOLO,101',0,0,0,0,0,0,0,52,0,0,38,93,4,8,1,0,0
V.CHIRICHES,21,2021-2022,SASSUOLO,9,SASSUOLO,VENEZIA,71',0,0,1,0,0,0,0,79,0,0,68,99,20,7,0,0,0
V.CHIRICHES,21,2021-2022,SASSUOLO,10,JUVENTUS,SASSUOLO,10',0,0,0,0,0,0,0,2,0,0,1,100,0,1,0,0,0
V.CHIRICHES,21,2021-2022,SASSUOLO,11,SASSUOLO,EMPOLI,95',0,0,0,0,0,0,0,47,0,0,37,97,8,6,0,0,0
V.CHIRICHES,21,2021-2022,SASSUOLO,12,UDINESE,SASSUOLO,97',0,0,0,0,0,0,0,100,0,0,83,86,21,6,0,0,0
V.CHIRICHES,21,2021-2022,SASSUOLO,14,MILAN,SASSUOLO,5',0,0,0,0,0,0,0,2,0,0,1,50,0,2,0,0,0
