Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
W.MCKENNIE,14,2021-2022,JUVENTUS,2,JUVENTUS,EMPOLI,46',0,0,0,0,0,0,0,15,0,0,9,90,6,0,0,0,0
W.MCKENNIE,14,2021-2022,JUVENTUS,3,NAPOLI,JUVENTUS,73',0,0,1,0,0,0,0,24,0,0,14,70,7,0,0,0,0
W.MCKENNIE,14,2021-2022,JUVENTUS,5,SPEZIA,JUVENTUS,97',0,0,3,0,0,1,0,49,0,0,32,84,17,3,0,0,0
W.MCKENNIE,14,2021-2022,JUVENTUS,6,JUVENTUS,SAMPDORIA,12',0,0,1,0,0,0,0,8,0,0,1,17,1,3,0,0,0
W.MCKENNIE,14,2021-2022,JUVENTUS,7,TORINO,JUVENTUS,94',0,0,2,0,0,1,1,43,0,0,19,76,8,5,0,0,0
W.MCKENNIE,14,2021-2022,JUVENTUS,9,INTER,JUVENTUS,87',0,0,1,0,0,0,0,40,0,0,21,88,12,7,0,0,0
W.MCKENNIE,14,2021-2022,JUVENTUS,10,JUVENTUS,SASSUOLO,97',1,0,1,1,0,1,2,57,0,1,36,80,24,3,0,0,0
W.MCKENNIE,14,2021-2022,JUVENTUS,11,HELLAS VERONA,JUVENTUS,38',1,0,2,2,0,1,1,35,0,2,14,61,5,5,0,0,0
W.MCKENNIE,14,2021-2022,JUVENTUS,12,JUVENTUS,FIORENTINA,98',0,0,0,0,0,2,1,59,0,2,17,53,6,5,0,0,0
W.MCKENNIE,14,2021-2022,JUVENTUS,13,LAZIO,JUVENTUS,100',0,0,0,0,0,0,1,43,0,0,24,86,5,7,0,0,0
W.MCKENNIE,14,2021-2022,JUVENTUS,14,JUVENTUS,ATALANTA,64',0,0,1,0,0,4,0,46,0,4,24,77,11,7,0,0,0
W.MCKENNIE,14,2021-2022,JUVENTUS,18,BOLOGNA,JUVENTUS,71',0,0,0,0,0,1,0,39,0,1,17,81,8,6,1,0,0
W.MCKENNIE,14,2021-2022,JUVENTUS,19,JUVENTUS,CAGLIARI,50',0,0,0,0,0,1,0,37,0,1,16,62,11,0,0,0,0
W.MCKENNIE,14,2021-2022,JUVENTUS,20,JUVENTUS,NAPOLI,98',0,0,3,0,0,0,0,45,0,0,26,79,19,6,0,0,0
W.MCKENNIE,14,2021-2022,JUVENTUS,21,ROMA,JUVENTUS,100',0,0,2,0,0,1,0,48,0,1,24,83,19,3,0,0,0
W.MCKENNIE,14,2021-2022,JUVENTUS,22,JUVENTUS,UDINESE,95',1,0,3,1,0,1,1,68,0,1,33,83,18,5,0,0,0
