Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
W.SINGO,17,2021-2022,TORINO,1,TORINO,ATALANTA,96',0,0,2,0,1,0,0,63,0,0,20,69,10,6,0,0,0
W.SINGO,17,2021-2022,TORINO,2,FIORENTINA,TORINO,100',0,0,1,0,0,0,2,56,0,0,14,70,10,1,0,0,0
W.SINGO,17,2021-2022,TORINO,3,TORINO,SALERNITANA,99',0,0,3,0,0,1,0,57,0,0,25,86,10,2,0,0,0
W.SINGO,17,2021-2022,TORINO,4,SASSUOLO,TORINO,78',0,0,0,0,0,0,2,52,0,0,27,82,19,3,0,0,0
W.SINGO,17,2021-2022,TORINO,5,TORINO,LAZIO,96',0,0,0,0,0,0,1,54,1,0,21,81,17,4,0,0,0
W.SINGO,17,2021-2022,TORINO,6,VENEZIA,TORINO,73',0,0,2,0,0,0,3,69,1,0,24,83,10,5,0,0,0
W.SINGO,17,2021-2022,TORINO,7,TORINO,JUVENTUS,94',0,0,2,0,0,0,1,52,0,0,23,82,14,6,0,0,0
W.SINGO,17,2021-2022,TORINO,8,NAPOLI,TORINO,98',0,0,0,0,0,0,3,59,0,1,22,79,14,9,0,0,0
W.SINGO,17,2021-2022,TORINO,9,TORINO,GENOA,59',0,0,0,0,0,0,2,39,0,0,13,68,10,3,0,0,0
W.SINGO,17,2021-2022,TORINO,10,MILAN,TORINO,74',0,0,1,0,0,0,3,69,0,0,38,83,26,5,1,0,0
W.SINGO,17,2021-2022,TORINO,11,TORINO,SAMPDORIA,53',1,0,1,1,0,0,0,39,0,1,16,70,10,3,0,0,0
W.SINGO,17,2021-2022,TORINO,12,SPEZIA,TORINO,76',0,0,2,0,0,1,3,64,0,1,30,81,17,6,0,0,0
W.SINGO,17,2021-2022,TORINO,13,TORINO,UDINESE,31',0,0,0,0,0,0,0,23,0,0,8,80,6,2,0,0,0
W.SINGO,17,2021-2022,TORINO,14,ROMA,TORINO,101',0,0,1,0,0,4,2,81,0,4,44,88,30,4,0,0,0
