Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,KP,FYC,SYC,RC
A.BARRECA,3,2019-2020,GENOA,1,ROMA,GENOA,77',0,0,0,19,0,0,10,0,1,2,0,0,0,0
A.BARRECA,3,2019-2020,GENOA,2,GENOA,FIORENTINA,80',0,0,0,27,0,0,9,0,0,5,1,0,0,0
A.BARRECA,3,2019-2020,GENOA,3,GENOA,ATALANTA,86',0,0,0,28,0,0,13,0,0,3,0,0,0,0
A.BARRECA,3,2019-2020,GENOA,5,GENOA,BOLOGNA,83',0,0,1,33,1,0,15,0,1,3,0,0,0,0
A.BARRECA,3,2019-2020,GENOA,6,LAZIO,GENOA,46',0,0,0,12,0,0,9,0,0,0,0,0,0,0
A.BARRECA,3,2019-2020,GENOA,11,GENOA,UDINESE,31',0,0,0,20,0,0,7,0,0,1,0,0,0,0
A.BARRECA,3,2019-2020,GENOA,19,HELLAS VERONA,GENOA,95',0,0,0,37,0,1,19,0,0,2,0,0,0,0
A.BARRECA,3,2019-2020,GENOA,20,GENOA,ROMA,96',0,0,2,47,1,0,23,1,0,14,1,0,0,0
A.BARRECA,3,2019-2020,GENOA,21,FIORENTINA,GENOA,97',0,0,1,38,0,0,24,3,1,1,0,0,0,0
A.BARRECA,3,2019-2020,GENOA,27,GENOA,PARMA,20',0,0,0,16,0,0,11,0,0,0,0,0,0,0
A.BARRECA,3,2019-2020,GENOA,28,BRESCIA,GENOA,62',0,0,0,41,0,0,30,1,2,4,0,0,0,0
A.BARRECA,3,2019-2020,GENOA,29,GENOA,JUVENTUS,32',0,0,0,29,0,0,18,2,0,7,0,0,0,0
A.BARRECA,3,2019-2020,GENOA,31,GENOA,NAPOLI,97',0,0,0,38,0,0,22,0,0,0,0,0,0,0
A.BARRECA,3,2019-2020,GENOA,32,GENOA,SPAL,36',0,0,0,14,0,0,6,1,0,5,0,0,0,0
A.BARRECA,3,2019-2020,GENOA,33,TORINO,GENOA,62',0,0,0,15,0,0,9,2,0,0,0,0,0,0
A.BARRECA,3,2019-2020,GENOA,34,GENOA,LECCE,82',0,0,0,19,0,0,9,1,1,2,0,0,0,0
A.BARRECA,3,2019-2020,GENOA,35,SAMPDORIA,GENOA,15',0,0,0,7,0,0,5,2,0,0,0,0,0,0
A.BARRECA,3,2019-2020,GENOA,38,GENOA,HELLAS VERONA,78',0,0,0,21,0,0,11,0,0,5,0,0,0,0
