Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,KP,FYC,SYC,RC
A.CONTI,12,2019-2020,MILAN,4,MILAN,INTER,98',0,0,0,81,0,0,59,2,2,11,0,1,0,0
A.CONTI,12,2019-2020,MILAN,7,GENOA,MILAN,16',0,0,0,5,0,0,5,0,0,0,0,0,0,0
A.CONTI,12,2019-2020,MILAN,8,MILAN,LECCE,97',0,0,0,82,0,0,70,2,0,12,0,0,0,0
A.CONTI,12,2019-2020,MILAN,9,ROMA,MILAN,52',0,0,0,29,0,0,19,0,2,2,0,0,0,0
A.CONTI,12,2019-2020,MILAN,12,JUVENTUS,MILAN,95',0,0,0,52,0,0,34,0,1,14,2,0,0,0
A.CONTI,12,2019-2020,MILAN,13,MILAN,NAPOLI,95',0,0,0,63,0,0,38,2,0,10,0,1,0,0
A.CONTI,12,2019-2020,MILAN,14,PARMA,MILAN,95',0,0,0,83,0,0,61,0,2,14,1,0,0,0
A.CONTI,12,2019-2020,MILAN,15,BOLOGNA,MILAN,95',0,0,0,41,0,0,26,4,0,5,0,0,0,0
A.CONTI,12,2019-2020,MILAN,16,MILAN,SASSUOLO,97',0,0,0,46,0,0,35,2,1,0,0,0,0,0
A.CONTI,12,2019-2020,MILAN,17,ATALANTA,MILAN,91',0,0,0,50,0,0,36,1,0,5,0,0,0,0
A.CONTI,12,2019-2020,MILAN,19,CAGLIARI,MILAN,24',0,0,0,4,0,0,1,0,0,2,0,0,0,0
A.CONTI,12,2019-2020,MILAN,20,MILAN,UDINESE,94',0,0,0,52,0,1,37,2,0,8,0,1,0,0
A.CONTI,12,2019-2020,MILAN,21,BRESCIA,MILAN,94',0,0,0,45,0,0,28,3,2,10,0,1,0,0
A.CONTI,12,2019-2020,MILAN,23,INTER,MILAN,97',0,0,0,74,0,0,64,2,0,0,0,1,0,0
A.CONTI,12,2019-2020,MILAN,25,FIORENTINA,MILAN,97',0,0,0,67,0,0,53,1,1,23,0,0,0,0
A.CONTI,12,2019-2020,MILAN,26,MILAN,GENOA,92',0,0,0,84,0,0,66,4,2,20,0,0,0,0
A.CONTI,12,2019-2020,MILAN,27,LECCE,MILAN,96',0,0,0,63,0,1,50,3,1,11,0,0,0,0
A.CONTI,12,2019-2020,MILAN,28,MILAN,ROMA,97',0,0,0,56,0,0,41,0,3,8,0,0,0,0
A.CONTI,12,2019-2020,MILAN,30,LAZIO,MILAN,74',0,0,0,52,0,0,41,2,0,5,0,0,0,0
A.CONTI,12,2019-2020,MILAN,31,MILAN,JUVENTUS,84',0,0,0,41,0,0,33,2,0,0,0,1,0,0
A.CONTI,12,2019-2020,MILAN,32,NAPOLI,MILAN,97',0,0,0,51,0,0,42,5,0,10,0,1,0,0
A.CONTI,12,2019-2020,MILAN,33,MILAN,PARMA,51',0,0,0,25,0,0,16,2,0,2,0,1,0,0
A.CONTI,12,2019-2020,MILAN,35,SASSUOLO,MILAN,11',0,0,0,7,0,0,6,0,1,0,0,0,0,0
