Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,KP,FYC,SYC,RC
A.KOLAROV,11,2019-2020,ROMA,1,ROMA,GENOA,98',1,0,2,58,2,0,38,0,1,4,2,0,0,0
A.KOLAROV,11,2019-2020,ROMA,2,LAZIO,ROMA,96',1,0,2,64,1,0,46,2,1,14,0,0,0,0
A.KOLAROV,11,2019-2020,ROMA,3,ROMA,SASSUOLO,98',0,0,0,51,0,1,38,1,0,1,0,0,0,0
A.KOLAROV,11,2019-2020,ROMA,4,BOLOGNA,ROMA,97',1,0,1,77,1,0,52,2,1,6,0,0,0,0
A.KOLAROV,11,2019-2020,ROMA,5,ROMA,ATALANTA,95',0,0,0,70,0,0,53,1,3,4,0,0,0,0
A.KOLAROV,11,2019-2020,ROMA,6,LECCE,ROMA,99',0,0,2,50,2,0,30,0,0,6,2,0,0,0
A.KOLAROV,11,2019-2020,ROMA,7,ROMA,CAGLIARI,105',0,0,0,78,0,0,55,2,1,1,2,1,0,0
A.KOLAROV,11,2019-2020,ROMA,8,SAMPDORIA,ROMA,98',0,0,0,75,0,0,40,1,3,15,0,0,0,0
A.KOLAROV,11,2019-2020,ROMA,9,ROMA,MILAN,95',0,0,0,52,0,0,39,1,2,8,0,1,0,0
A.KOLAROV,11,2019-2020,ROMA,10,UDINESE,ROMA,95',1,0,2,55,1,1,36,1,0,5,1,0,0,0
A.KOLAROV,11,2019-2020,ROMA,11,ROMA,NAPOLI,99',0,0,2,58,2,0,33,0,1,17,1,0,0,0
A.KOLAROV,11,2019-2020,ROMA,12,PARMA,ROMA,98',0,0,1,61,1,0,38,0,1,12,0,0,0,0
A.KOLAROV,11,2019-2020,ROMA,13,ROMA,BRESCIA,93',0,0,0,97,1,0,57,0,2,4,0,0,0,0
A.KOLAROV,11,2019-2020,ROMA,14,HELLAS VERONA,ROMA,99',0,0,0,52,0,0,34,0,0,3,1,0,0,0
A.KOLAROV,11,2019-2020,ROMA,15,INTER,ROMA,95',0,0,0,73,0,0,53,1,2,12,0,0,0,0
A.KOLAROV,11,2019-2020,ROMA,16,ROMA,SPAL,95',0,0,2,79,0,0,64,2,2,2,0,0,0,0
A.KOLAROV,11,2019-2020,ROMA,17,FIORENTINA,ROMA,98',1,0,1,66,1,0,46,1,1,12,0,1,0,0
A.KOLAROV,11,2019-2020,ROMA,18,ROMA,TORINO,101',0,0,1,75,1,0,43,2,1,11,1,1,0,0
A.KOLAROV,11,2019-2020,ROMA,19,ROMA,JUVENTUS,99',0,0,1,80,1,0,51,1,0,5,0,1,0,0
A.KOLAROV,11,2019-2020,ROMA,21,ROMA,LAZIO,11',0,0,0,11,0,0,6,1,0,0,0,1,0,0
A.KOLAROV,11,2019-2020,ROMA,23,ROMA,BOLOGNA,96',0,0,1,88,0,0,53,0,3,15,0,0,0,0
A.KOLAROV,11,2019-2020,ROMA,25,ROMA,LECCE,93',1,0,1,74,1,0,56,1,0,0,2,0,0,0
A.KOLAROV,11,2019-2020,ROMA,26,CAGLIARI,ROMA,97',0,0,1,49,0,1,26,0,0,0,0,0,0,0
A.KOLAROV,11,2019-2020,ROMA,27,ROMA,SAMPDORIA,95',0,0,1,61,1,0,34,0,0,9,1,0,0,0
A.KOLAROV,11,2019-2020,ROMA,29,ROMA,UDINESE,97',0,0,0,82,0,0,59,0,1,5,1,0,0,0
A.KOLAROV,11,2019-2020,ROMA,31,ROMA,PARMA,29',0,0,0,16,0,0,14,0,0,5,0,0,0,0
A.KOLAROV,11,2019-2020,ROMA,32,BRESCIA,ROMA,97',0,0,1,60,0,0,38,1,1,11,0,0,0,0
A.KOLAROV,11,2019-2020,ROMA,33,ROMA,HELLAS VERONA,101',0,0,0,37,0,0,17,0,1,12,0,0,0,0
A.KOLAROV,11,2019-2020,ROMA,34,ROMA,INTER,97',0,0,0,40,0,0,28,2,0,4,0,0,0,0
A.KOLAROV,11,2019-2020,ROMA,35,SPAL,ROMA,93',1,0,1,78,1,0,56,0,2,11,0,0,0,0
A.KOLAROV,11,2019-2020,ROMA,36,ROMA,FIORENTINA,100',0,0,1,87,1,0,75,1,0,8,0,0,0,0
A.KOLAROV,11,2019-2020,ROMA,37,TORINO,ROMA,99',0,0,1,73,1,0,62,3,1,4,1,0,0,0
