Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,KP,FYC,SYC,RC
A.SANCHEZ,7,2019-2020,INTER,3,INTER,UDINESE,15',0,0,1,12,1,0,7,0,1,0,0,0,0,0
A.SANCHEZ,7,2019-2020,INTER,5,INTER,LAZIO,12',0,0,0,11,0,0,3,0,1,0,0,0,0,0
A.SANCHEZ,7,2019-2020,INTER,6,SAMPDORIA,INTER,49',1,0,1,27,1,0,13,3,2,2,0,0,1,0
A.SANCHEZ,7,2019-2020,INTER,20,LECCE,INTER,12',0,0,0,7,0,0,4,0,0,2,0,0,0,0
A.SANCHEZ,7,2019-2020,INTER,21,INTER,CAGLIARI,12',0,0,0,7,0,0,2,0,0,0,0,0,0,0
A.SANCHEZ,7,2019-2020,INTER,22,UDINESE,INTER,34',0,0,1,11,1,0,5,1,1,0,0,0,0,0
A.SANCHEZ,7,2019-2020,INTER,23,INTER,MILAN,72',0,0,0,26,0,1,13,0,0,0,2,0,0,0
A.SANCHEZ,7,2019-2020,INTER,24,LAZIO,INTER,9',0,0,0,7,0,0,4,1,1,0,0,0,0,0
A.SANCHEZ,7,2019-2020,INTER,25,INTER,SAMPDORIA,11',0,0,0,10,0,0,6,0,1,0,0,0,0,0
A.SANCHEZ,7,2019-2020,INTER,26,JUVENTUS,INTER,17',0,0,0,9,0,0,4,1,0,0,0,0,0,0
A.SANCHEZ,7,2019-2020,INTER,27,INTER,SASSUOLO,64',0,0,0,26,0,1,11,1,2,4,0,0,0,0
A.SANCHEZ,7,2019-2020,INTER,28,PARMA,INTER,27',0,0,1,15,1,0,12,0,0,0,1,0,0,0
A.SANCHEZ,7,2019-2020,INTER,29,INTER,BRESCIA,93',1,0,1,56,1,2,26,0,5,0,1,0,0,0
A.SANCHEZ,7,2019-2020,INTER,30,INTER,BOLOGNA,21',0,0,1,16,2,0,8,0,1,0,0,0,0,0
A.SANCHEZ,7,2019-2020,INTER,31,HELLAS VERONA,INTER,98',0,0,1,67,1,0,33,0,5,6,1,0,0,0
A.SANCHEZ,7,2019-2020,INTER,32,INTER,TORINO,93',0,0,1,54,1,2,32,2,2,4,2,1,0,0
A.SANCHEZ,7,2019-2020,INTER,33,SPAL,INTER,80',1,0,2,40,3,1,17,2,3,2,0,0,0,0
A.SANCHEZ,7,2019-2020,INTER,34,ROMA,INTER,97',0,0,0,36,0,1,15,2,4,0,0,0,0,0
A.SANCHEZ,7,2019-2020,INTER,35,INTER,FIORENTINA,71',0,0,1,27,1,0,11,1,2,4,0,0,0,0
A.SANCHEZ,7,2019-2020,INTER,36,GENOA,INTER,30',1,0,1,20,1,0,15,2,1,0,0,0,0,0
A.SANCHEZ,7,2019-2020,INTER,37,INTER,NAPOLI,64',0,0,0,25,0,0,14,2,0,1,0,1,0,0
A.SANCHEZ,7,2019-2020,INTER,38,ATALANTA,INTER,23',0,0,0,15,0,0,12,1,0,0,0,0,0,0
