Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,KP,FYC,SYC,RC
BRUNO PERES,33,2019-2020,ROMA,20,GENOA,ROMA,8',0,0,0,4,0,0,2,0,0,0,0,0,0,0
BRUNO PERES,33,2019-2020,ROMA,22,SASSUOLO,ROMA,49',0,0,0,31,0,0,24,0,0,1,0,0,0,0
BRUNO PERES,33,2019-2020,ROMA,23,ROMA,BOLOGNA,34',0,0,0,26,0,1,19,2,0,2,0,1,0,0
BRUNO PERES,33,2019-2020,ROMA,24,ATALANTA,ROMA,96',0,0,0,67,0,0,49,1,1,1,0,0,0,0
BRUNO PERES,33,2019-2020,ROMA,25,ROMA,LECCE,93',0,0,1,70,0,0,52,1,0,4,1,0,0,0
BRUNO PERES,33,2019-2020,ROMA,26,CAGLIARI,ROMA,84',0,0,1,56,1,0,36,0,2,6,0,0,0,0
BRUNO PERES,33,2019-2020,ROMA,27,ROMA,SAMPDORIA,63',0,0,0,39,0,0,34,1,0,0,0,0,0,0
BRUNO PERES,33,2019-2020,ROMA,29,ROMA,UDINESE,65',0,0,0,34,0,0,25,1,0,2,0,0,0,0
BRUNO PERES,33,2019-2020,ROMA,31,ROMA,PARMA,69',0,0,1,68,1,1,50,2,1,2,0,1,0,0
BRUNO PERES,33,2019-2020,ROMA,32,BRESCIA,ROMA,97',0,0,0,62,0,0,42,1,2,8,2,1,0,0
BRUNO PERES,33,2019-2020,ROMA,33,ROMA,HELLAS VERONA,70',0,0,0,32,0,0,19,0,0,3,1,0,0,0
BRUNO PERES,33,2019-2020,ROMA,34,ROMA,INTER,97',0,0,0,58,0,0,42,1,2,2,0,0,0,0
BRUNO PERES,33,2019-2020,ROMA,35,SPAL,ROMA,93',2,0,2,66,2,0,52,1,1,2,0,0,0,0
BRUNO PERES,33,2019-2020,ROMA,36,ROMA,FIORENTINA,100',0,0,0,49,0,0,32,1,6,3,0,0,0,0
BRUNO PERES,33,2019-2020,ROMA,37,TORINO,ROMA,74',0,0,0,35,0,0,20,2,0,5,1,0,0,0
BRUNO PERES,33,2019-2020,ROMA,38,JUVENTUS,ROMA,35',0,0,0,21,0,0,13,0,0,4,0,0,0,0
