Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,KP,FYC,SYC,RC
D.BASELLI,8,2019-2020,TORINO,1,TORINO,SASSUOLO,83',0,0,0,42,0,0,16,1,0,23,0,0,0,0
D.BASELLI,8,2019-2020,TORINO,2,ATALANTA,TORINO,79',0,0,0,45,0,2,23,3,0,12,1,0,0,0
D.BASELLI,8,2019-2020,TORINO,3,TORINO,LECCE,74',0,0,0,36,0,0,22,1,2,0,0,0,0,0
D.BASELLI,8,2019-2020,TORINO,4,SAMPDORIA,TORINO,97',0,0,0,66,0,0,46,1,1,8,0,0,0,0
D.BASELLI,8,2019-2020,TORINO,5,TORINO,MILAN,98',0,0,0,75,0,0,44,1,3,4,0,0,0,0
D.BASELLI,8,2019-2020,TORINO,6,PARMA,TORINO,99',0,0,0,65,0,0,42,1,2,4,0,0,0,0
D.BASELLI,8,2019-2020,TORINO,7,TORINO,NAPOLI,74',0,0,0,41,0,0,31,0,0,9,0,0,0,0
D.BASELLI,8,2019-2020,TORINO,8,UDINESE,TORINO,94',0,0,0,83,0,0,59,1,1,8,1,0,0,0
D.BASELLI,8,2019-2020,TORINO,9,TORINO,CAGLIARI,95',0,0,1,51,0,0,31,1,0,14,0,0,0,0
D.BASELLI,8,2019-2020,TORINO,10,LAZIO,TORINO,75',0,0,1,60,0,0,47,0,0,5,0,0,0,0
D.BASELLI,8,2019-2020,TORINO,11,TORINO,JUVENTUS,87',0,0,0,33,0,0,26,2,0,0,0,1,0,0
D.BASELLI,8,2019-2020,TORINO,13,TORINO,INTER,74',0,0,0,77,0,0,61,1,1,7,0,0,0,0
D.BASELLI,8,2019-2020,TORINO,14,GENOA,TORINO,65',0,0,0,29,0,0,24,0,1,9,1,1,0,0
D.BASELLI,8,2019-2020,TORINO,15,TORINO,FIORENTINA,96',0,0,0,46,0,0,26,1,0,6,1,1,0,0
D.BASELLI,8,2019-2020,TORINO,16,HELLAS VERONA,TORINO,88',0,0,1,47,1,0,31,3,1,1,0,0,0,0
D.BASELLI,8,2019-2020,TORINO,26,NAPOLI,TORINO,69',0,0,0,21,0,0,16,0,1,6,0,0,0,0
