Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,KP,FYC,SYC,RC
DOUGLAS COSTA,11,2019-2020,JUVENTUS,1,PARMA,JUVENTUS,74',0,0,0,59,0,0,40,1,3,2,2,0,0,0
DOUGLAS COSTA,11,2019-2020,JUVENTUS,2,JUVENTUS,NAPOLI,96',0,0,1,49,2,2,30,2,1,4,0,1,0,0
DOUGLAS COSTA,11,2019-2020,JUVENTUS,3,FIORENTINA,JUVENTUS,8',0,0,0,4,0,0,2,0,1,0,0,0,0,0
DOUGLAS COSTA,11,2019-2020,JUVENTUS,10,JUVENTUS,GENOA,18',0,0,1,13,2,0,4,0,0,2,0,0,0,0
DOUGLAS COSTA,11,2019-2020,JUVENTUS,12,JUVENTUS,MILAN,33',0,0,0,15,0,0,9,0,0,0,1,0,0,0
DOUGLAS COSTA,11,2019-2020,JUVENTUS,13,ATALANTA,JUVENTUS,38',0,0,0,23,0,0,17,0,0,0,0,0,0,0
DOUGLAS COSTA,11,2019-2020,JUVENTUS,16,JUVENTUS,UDINESE,15',0,0,0,12,0,0,8,0,0,0,0,0,0,0
DOUGLAS COSTA,11,2019-2020,JUVENTUS,17,SAMPDORIA,JUVENTUS,20',0,0,0,2,0,0,2,1,0,0,0,0,0,0
DOUGLAS COSTA,11,2019-2020,JUVENTUS,18,JUVENTUS,CAGLIARI,13',0,0,0,12,0,1,10,0,1,0,0,0,0,0
DOUGLAS COSTA,11,2019-2020,JUVENTUS,20,JUVENTUS,PARMA,14',0,0,0,6,0,0,2,0,0,2,2,0,0,0
DOUGLAS COSTA,11,2019-2020,JUVENTUS,21,NAPOLI,JUVENTUS,22',0,0,0,12,0,0,5,2,0,0,0,0,0,0
DOUGLAS COSTA,11,2019-2020,JUVENTUS,22,JUVENTUS,FIORENTINA,85',0,0,0,74,0,0,52,0,0,2,1,0,0,0
DOUGLAS COSTA,11,2019-2020,JUVENTUS,23,HELLAS VERONA,JUVENTUS,73',0,0,2,38,1,0,18,0,1,0,1,0,0,0
DOUGLAS COSTA,11,2019-2020,JUVENTUS,26,JUVENTUS,INTER,59',0,0,0,27,0,0,17,1,1,0,0,0,0,0
DOUGLAS COSTA,11,2019-2020,JUVENTUS,27,BOLOGNA,JUVENTUS,19',0,0,0,6,0,0,3,0,0,0,0,0,0,0
DOUGLAS COSTA,11,2019-2020,JUVENTUS,28,JUVENTUS,LECCE,38',0,0,1,50,1,1,35,1,0,0,0,0,0,0
DOUGLAS COSTA,11,2019-2020,JUVENTUS,29,GENOA,JUVENTUS,28',1,0,1,15,1,0,7,0,0,0,0,0,0,0
DOUGLAS COSTA,11,2019-2020,JUVENTUS,30,JUVENTUS,TORINO,39',0,0,1,27,1,0,14,0,0,0,1,0,0,0
DOUGLAS COSTA,11,2019-2020,JUVENTUS,31,MILAN,JUVENTUS,27',0,0,0,14,0,0,8,1,0,0,0,0,0,0
DOUGLAS COSTA,11,2019-2020,JUVENTUS,32,JUVENTUS,ATALANTA,36',0,0,1,28,0,0,15,0,3,0,0,0,0,0
DOUGLAS COSTA,11,2019-2020,JUVENTUS,33,SASSUOLO,JUVENTUS,33',0,0,0,18,0,0,14,1,0,2,0,0,0,0
DOUGLAS COSTA,11,2019-2020,JUVENTUS,34,JUVENTUS,LAZIO,60',0,0,1,42,0,0,35,0,0,0,0,0,0,0
DOUGLAS COSTA,11,2019-2020,JUVENTUS,35,UDINESE,JUVENTUS,37',0,0,0,21,0,0,13,0,0,0,0,0,0,0
