Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,KP,FYC,SYC,RC
E.HYSAJ,23,2019-2020,NAPOLI,1,FIORENTINA,NAPOLI,11',0,0,0,9,0,0,3,0,2,5,0,0,0,0
E.HYSAJ,23,2019-2020,NAPOLI,6,NAPOLI,BRESCIA,22',0,0,1,8,0,0,4,1,0,0,0,1,0,0
E.HYSAJ,23,2019-2020,NAPOLI,7,TORINO,NAPOLI,34',0,0,0,25,0,0,16,0,1,1,0,0,0,0
E.HYSAJ,23,2019-2020,NAPOLI,12,NAPOLI,GENOA,85',0,0,0,40,0,0,30,4,3,4,0,0,0,0
E.HYSAJ,23,2019-2020,NAPOLI,13,MILAN,NAPOLI,95',0,0,0,52,0,0,37,0,0,13,0,0,0,0
E.HYSAJ,23,2019-2020,NAPOLI,17,SASSUOLO,NAPOLI,50',0,0,0,21,0,0,14,0,0,3,0,0,0,0
E.HYSAJ,23,2019-2020,NAPOLI,18,NAPOLI,INTER,82',0,0,0,85,0,0,64,1,1,8,0,0,0,0
E.HYSAJ,23,2019-2020,NAPOLI,19,LAZIO,NAPOLI,95',0,0,0,112,0,0,90,0,1,15,0,0,0,0
E.HYSAJ,23,2019-2020,NAPOLI,20,NAPOLI,FIORENTINA,96',0,0,0,100,0,0,74,1,1,2,0,1,0,0
E.HYSAJ,23,2019-2020,NAPOLI,21,NAPOLI,JUVENTUS,95',0,0,0,80,0,0,63,1,0,8,0,1,0,0
E.HYSAJ,23,2019-2020,NAPOLI,22,SAMPDORIA,NAPOLI,99',0,0,0,96,0,0,82,1,1,5,1,0,0,0
E.HYSAJ,23,2019-2020,NAPOLI,24,CAGLIARI,NAPOLI,80',0,0,0,77,0,1,61,0,1,6,0,0,0,0
E.HYSAJ,23,2019-2020,NAPOLI,26,NAPOLI,TORINO,97',0,0,0,109,0,0,89,0,1,7,0,0,0,0
E.HYSAJ,23,2019-2020,NAPOLI,27,HELLAS VERONA,NAPOLI,71',0,0,0,58,0,0,45,0,1,0,1,0,0,0
E.HYSAJ,23,2019-2020,NAPOLI,28,NAPOLI,SPAL,100',0,0,0,90,0,0,72,0,0,3,0,0,0,0
E.HYSAJ,23,2019-2020,NAPOLI,31,GENOA,NAPOLI,97',0,0,0,95,0,0,75,0,1,9,0,0,0,0
E.HYSAJ,23,2019-2020,NAPOLI,33,BOLOGNA,NAPOLI,95',0,0,0,79,0,0,53,0,2,3,0,0,0,0
E.HYSAJ,23,2019-2020,NAPOLI,34,NAPOLI,UDINESE,99',0,0,0,87,0,1,77,0,1,2,1,0,0,0
E.HYSAJ,23,2019-2020,NAPOLI,36,NAPOLI,SASSUOLO,99',1,0,2,74,2,0,56,0,0,0,1,0,0,0
E.HYSAJ,23,2019-2020,NAPOLI,37,INTER,NAPOLI,88',0,0,0,87,0,0,69,0,0,7,0,0,0,0
