Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,KP,FYC,SYC,RC
G.MAGNANI,20,2019-2020,BRESCIA,12,BRESCIA,TORINO,92',0,0,0,44,0,0,28,1,1,14,1,1,0,0
G.MAGNANI,20,2019-2020,BRESCIA,15,SPAL,BRESCIA,31',0,0,0,0,0,0,0,1,2,0,0,1,0,0
G.MAGNANI,32,2019-2020,SASSUOLO,22,SASSUOLO,ROMA,7',0,0,0,0,0,0,0,0,0,0,0,0,0,0
G.MAGNANI,32,2019-2020,SASSUOLO,23,SPAL,SASSUOLO,2',0,0,0,0,0,0,0,0,0,0,0,0,0,0
G.MAGNANI,32,2019-2020,SASSUOLO,25,ATALANTA,SASSUOLO,24',0,0,0,9,0,0,9,0,0,0,0,0,0,0
G.MAGNANI,32,2019-2020,SASSUOLO,27,INTER,SASSUOLO,15',1,0,1,5,1,0,3,0,0,1,0,0,0,0
G.MAGNANI,32,2019-2020,SASSUOLO,28,SASSUOLO,HELLAS VERONA,78',0,0,1,49,0,0,34,1,1,5,0,1,0,0
G.MAGNANI,32,2019-2020,SASSUOLO,31,BOLOGNA,SASSUOLO,14',0,0,0,4,0,0,0,0,0,4,0,0,0,0
G.MAGNANI,32,2019-2020,SASSUOLO,32,LAZIO,SASSUOLO,6',0,0,0,2,0,0,0,0,0,2,0,0,0,0
G.MAGNANI,32,2019-2020,SASSUOLO,34,CAGLIARI,SASSUOLO,22',0,0,0,21,0,0,16,1,1,6,0,0,0,0
