Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,KP,FYC,SYC,RC
HERNANI,10,2019-2020,PARMA,1,PARMA,JUVENTUS,99',0,0,2,46,1,0,28,2,0,8,0,1,0,0
HERNANI,10,2019-2020,PARMA,2,UDINESE,PARMA,97',0,0,0,32,0,0,23,2,1,22,0,1,0,0
HERNANI,10,2019-2020,PARMA,3,PARMA,CAGLIARI,104',0,0,1,58,1,0,29,1,1,6,1,0,0,0
HERNANI,10,2019-2020,PARMA,4,LAZIO,PARMA,94',0,0,0,50,0,0,37,0,0,7,0,0,0,0
HERNANI,10,2019-2020,PARMA,5,PARMA,SASSUOLO,100',0,0,0,31,0,0,13,2,0,28,2,0,0,0
HERNANI,10,2019-2020,PARMA,6,PARMA,TORINO,82',0,0,1,31,1,0,17,2,0,0,0,1,0,0
HERNANI,10,2019-2020,PARMA,7,SPAL,PARMA,60',0,0,0,28,0,0,13,2,0,6,0,1,0,0
HERNANI,10,2019-2020,PARMA,8,PARMA,GENOA,30',0,0,0,26,0,0,13,0,1,6,0,0,0,0
HERNANI,10,2019-2020,PARMA,9,INTER,PARMA,97',0,0,0,32,0,0,20,1,0,8,0,0,0,0
HERNANI,10,2019-2020,PARMA,10,PARMA,HELLAS VERONA,35',0,0,0,37,0,0,19,0,0,3,1,0,0,0
HERNANI,10,2019-2020,PARMA,11,FIORENTINA,PARMA,95',0,0,0,33,1,0,23,2,0,6,0,0,0,0
HERNANI,10,2019-2020,PARMA,12,PARMA,ROMA,98',0,0,0,33,0,1,22,4,1,18,0,1,0,0
HERNANI,10,2019-2020,PARMA,14,PARMA,MILAN,95',0,0,0,41,1,0,27,1,1,4,0,0,0,0
HERNANI,10,2019-2020,PARMA,15,SAMPDORIA,PARMA,97',0,0,0,42,0,1,21,4,0,8,0,0,0,0
HERNANI,10,2019-2020,PARMA,16,NAPOLI,PARMA,100',0,0,0,41,0,0,26,2,0,10,0,0,0,0
HERNANI,10,2019-2020,PARMA,17,PARMA,BRESCIA,94',0,0,0,52,1,0,27,1,0,12,0,1,0,0
HERNANI,10,2019-2020,PARMA,18,ATALANTA,PARMA,90',0,0,0,47,0,0,28,1,1,16,0,1,0,0
HERNANI,10,2019-2020,PARMA,19,PARMA,LECCE,83',0,0,0,45,0,1,26,1,1,6,0,1,0,0
HERNANI,10,2019-2020,PARMA,20,JUVENTUS,PARMA,97',0,0,2,54,0,0,33,2,1,0,0,0,0,0
HERNANI,10,2019-2020,PARMA,21,PARMA,UDINESE,97',0,0,1,50,1,0,35,1,0,16,0,1,0,0
HERNANI,10,2019-2020,PARMA,22,CAGLIARI,PARMA,97',0,0,1,52,0,0,27,1,1,6,0,0,0,0
HERNANI,10,2019-2020,PARMA,23,PARMA,LAZIO,98',0,0,0,56,0,0,41,0,0,13,2,0,0,0
HERNANI,10,2019-2020,PARMA,24,SASSUOLO,PARMA,96',0,0,2,25,1,0,8,1,2,9,0,0,0,0
HERNANI,10,2019-2020,PARMA,25,TORINO,PARMA,23',0,0,0,11,0,0,6,0,0,1,0,0,0,0
HERNANI,10,2019-2020,PARMA,27,GENOA,PARMA,63',0,0,1,39,1,0,24,0,2,5,0,0,0,0
HERNANI,10,2019-2020,PARMA,28,PARMA,INTER,41',0,0,0,13,0,0,9,0,1,4,0,0,0,0
HERNANI,10,2019-2020,PARMA,29,HELLAS VERONA,PARMA,89',0,0,1,49,1,0,23,2,0,11,0,1,0,0
HERNANI,10,2019-2020,PARMA,31,ROMA,PARMA,89',0,0,0,51,0,0,25,1,2,2,0,0,0,0
HERNANI,10,2019-2020,PARMA,32,PARMA,BOLOGNA,99',0,0,0,61,0,0,35,5,4,3,0,0,0,0
HERNANI,10,2019-2020,PARMA,33,MILAN,PARMA,30',0,0,0,15,0,0,8,1,1,0,0,0,0,0
HERNANI,10,2019-2020,PARMA,34,PARMA,SAMPDORIA,65',0,0,0,36,0,0,21,1,1,5,0,0,0,0
HERNANI,10,2019-2020,PARMA,38,LECCE,PARMA,55',0,0,1,22,1,1,13,0,0,2,0,0,0,0
