Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,KP,FYC,SYC,RC
J.ILICIC,72,2019-2020,ATALANTA,2,ATALANTA,TORINO,94',0,0,3,65,5,0,28,0,5,2,3,0,0,0
J.ILICIC,72,2019-2020,ATALANTA,3,GENOA,ATALANTA,64',0,0,0,48,0,0,25,1,2,0,1,1,0,0
J.ILICIC,72,2019-2020,ATALANTA,4,ATALANTA,FIORENTINA,39',1,0,1,30,1,0,20,2,1,2,0,0,0,0
J.ILICIC,72,2019-2020,ATALANTA,5,ROMA,ATALANTA,62',0,0,0,43,1,0,25,0,2,4,0,0,0,0
J.ILICIC,72,2019-2020,ATALANTA,6,SASSUOLO,ATALANTA,96',0,0,0,45,0,0,25,2,3,3,1,0,0,0
J.ILICIC,72,2019-2020,ATALANTA,7,ATALANTA,LECCE,75',0,0,2,45,4,1,23,0,2,9,0,0,0,0
J.ILICIC,72,2019-2020,ATALANTA,8,LAZIO,ATALANTA,30',0,0,0,22,0,0,16,0,1,7,2,0,0,0
J.ILICIC,72,2019-2020,ATALANTA,9,ATALANTA,UDINESE,82',2,0,4,51,4,0,29,0,1,11,1,0,0,0
J.ILICIC,72,2019-2020,ATALANTA,10,NAPOLI,ATALANTA,102',1,0,3,63,3,0,39,0,4,11,0,0,0,0
J.ILICIC,72,2019-2020,ATALANTA,11,ATALANTA,CAGLIARI,39',0,0,0,26,0,0,18,0,1,0,0,0,0,1
J.ILICIC,72,2019-2020,ATALANTA,14,BRESCIA,ATALANTA,95',1,0,3,101,3,1,66,0,4,4,0,0,0,0
J.ILICIC,72,2019-2020,ATALANTA,15,ATALANTA,HELLAS VERONA,28',0,0,0,16,0,0,8,0,0,2,0,0,0,0
J.ILICIC,72,2019-2020,ATALANTA,17,ATALANTA,MILAN,80',2,0,5,60,4,0,35,0,2,2,0,0,0,0
J.ILICIC,72,2019-2020,ATALANTA,18,ATALANTA,PARMA,84',2,0,6,61,4,0,29,0,4,2,1,0,0,0
J.ILICIC,72,2019-2020,ATALANTA,19,INTER,ATALANTA,95',0,0,0,65,0,0,42,2,5,4,1,0,0,0
J.ILICIC,72,2019-2020,ATALANTA,20,ATALANTA,SPAL,98',1,0,2,63,1,0,39,2,5,0,3,0,0,0
J.ILICIC,72,2019-2020,ATALANTA,21,TORINO,ATALANTA,71',3,0,3,57,3,0,36,0,3,2,4,0,0,0
J.ILICIC,72,2019-2020,ATALANTA,22,ATALANTA,GENOA,78',1,0,2,55,2,0,31,1,1,3,1,0,0,0
J.ILICIC,72,2019-2020,ATALANTA,23,FIORENTINA,ATALANTA,96',0,0,0,75,0,0,48,2,5,0,1,0,0,0
J.ILICIC,72,2019-2020,ATALANTA,24,ATALANTA,ROMA,85',0,0,0,55,1,0,32,0,0,11,2,0,0,0
J.ILICIC,72,2019-2020,ATALANTA,26,LECCE,ATALANTA,74',1,0,2,64,2,2,42,0,1,2,1,0,0,0
J.ILICIC,72,2019-2020,ATALANTA,27,ATALANTA,LAZIO,18',0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.ILICIC,72,2019-2020,ATALANTA,28,UDINESE,ATALANTA,14',0,0,0,10,0,0,5,0,2,2,0,0,0,0
J.ILICIC,72,2019-2020,ATALANTA,30,CAGLIARI,ATALANTA,33',0,0,2,28,1,0,19,0,2,6,0,0,0,0
J.ILICIC,72,2019-2020,ATALANTA,31,ATALANTA,SAMPDORIA,69',0,0,0,38,0,0,22,0,3,2,1,0,0,0
J.ILICIC,72,2019-2020,ATALANTA,32,JUVENTUS,ATALANTA,60',0,0,0,38,0,0,24,0,2,1,1,0,0,0
