Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,KP,FYC,SYC,RC
J.PASTORE,27,2019-2020,ROMA,1,ROMA,GENOA,20',0,0,0,20,0,0,16,0,0,0,0,0,0,0
J.PASTORE,27,2019-2020,ROMA,2,LAZIO,ROMA,27',0,0,0,13,0,0,12,0,0,0,0,0,0,0
J.PASTORE,27,2019-2020,ROMA,3,ROMA,SASSUOLO,9',0,0,0,8,1,0,4,0,0,0,0,0,0,0
J.PASTORE,27,2019-2020,ROMA,8,SAMPDORIA,ROMA,91',0,0,0,68,0,0,43,1,1,6,0,0,0,0
J.PASTORE,27,2019-2020,ROMA,9,ROMA,MILAN,95',0,0,1,52,3,0,30,1,5,10,0,0,0,0
J.PASTORE,27,2019-2020,ROMA,10,UDINESE,ROMA,72',0,0,0,42,1,1,28,1,1,4,0,0,0,0
J.PASTORE,27,2019-2020,ROMA,11,ROMA,NAPOLI,91',0,0,0,58,1,0,38,5,0,10,0,0,0,0
J.PASTORE,27,2019-2020,ROMA,12,PARMA,ROMA,69',0,0,1,40,1,0,25,1,2,2,0,0,0,0
J.PASTORE,27,2019-2020,ROMA,21,ROMA,LAZIO,5',0,0,0,1,0,0,1,1,0,0,0,0,0,0
J.PASTORE,27,2019-2020,ROMA,27,ROMA,SAMPDORIA,63',0,0,1,44,1,0,37,0,0,0,0,0,0,0
J.PASTORE,27,2019-2020,ROMA,28,MILAN,ROMA,13',0,0,0,6,0,0,3,0,0,0,0,0,0,0
