Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,KP,FYC,SYC,RC
K.MANOLAS,44,2019-2020,NAPOLI,1,FIORENTINA,NAPOLI,97',0,0,0,53,0,0,42,1,0,7,0,0,0,0
K.MANOLAS,44,2019-2020,NAPOLI,2,JUVENTUS,NAPOLI,96',1,0,1,46,1,0,38,1,0,7,0,0,0,0
K.MANOLAS,44,2019-2020,NAPOLI,5,NAPOLI,CAGLIARI,96',0,0,1,96,1,0,83,0,1,16,0,0,0,0
K.MANOLAS,44,2019-2020,NAPOLI,6,NAPOLI,BRESCIA,69',1,0,1,41,1,0,37,1,0,9,0,1,0,0
K.MANOLAS,44,2019-2020,NAPOLI,7,TORINO,NAPOLI,97',0,0,0,61,0,0,53,0,2,21,0,0,0,0
K.MANOLAS,44,2019-2020,NAPOLI,8,NAPOLI,HELLAS VERONA,93',0,0,0,47,0,0,35,1,1,11,0,0,0,0
K.MANOLAS,44,2019-2020,NAPOLI,11,ROMA,NAPOLI,99',0,0,0,59,0,0,51,1,0,6,0,0,0,0
K.MANOLAS,44,2019-2020,NAPOLI,14,NAPOLI,BOLOGNA,96',0,0,0,59,0,0,55,0,0,6,0,0,0,0
K.MANOLAS,44,2019-2020,NAPOLI,15,UDINESE,NAPOLI,95',0,0,0,64,0,0,60,1,3,13,0,0,0,0
K.MANOLAS,44,2019-2020,NAPOLI,16,NAPOLI,PARMA,100',0,0,2,76,0,0,65,1,1,8,0,0,0,0
K.MANOLAS,44,2019-2020,NAPOLI,17,SASSUOLO,NAPOLI,96',0,0,1,56,1,0,41,1,1,15,0,0,0,0
K.MANOLAS,44,2019-2020,NAPOLI,18,NAPOLI,INTER,96',0,0,0,63,0,0,48,3,2,13,0,0,0,0
K.MANOLAS,44,2019-2020,NAPOLI,19,LAZIO,NAPOLI,95',0,0,0,72,0,0,66,2,1,5,0,1,0,0
K.MANOLAS,44,2019-2020,NAPOLI,20,NAPOLI,FIORENTINA,96',0,0,0,78,0,0,65,0,0,7,0,0,0,0
K.MANOLAS,44,2019-2020,NAPOLI,21,NAPOLI,JUVENTUS,95',0,0,0,49,0,0,40,1,0,8,0,0,0,0
K.MANOLAS,44,2019-2020,NAPOLI,22,SAMPDORIA,NAPOLI,99',0,0,0,69,0,0,53,1,3,10,0,0,0,0
K.MANOLAS,44,2019-2020,NAPOLI,24,CAGLIARI,NAPOLI,95',0,0,0,66,0,0,61,2,0,7,0,0,0,0
K.MANOLAS,44,2019-2020,NAPOLI,25,BRESCIA,NAPOLI,95',0,0,0,61,0,0,51,0,0,11,0,0,0,0
K.MANOLAS,44,2019-2020,NAPOLI,26,NAPOLI,TORINO,97',1,0,2,72,1,0,67,1,0,11,0,0,0,0
K.MANOLAS,44,2019-2020,NAPOLI,28,NAPOLI,SPAL,15',0,0,0,10,0,0,9,0,0,0,0,0,0,0
K.MANOLAS,44,2019-2020,NAPOLI,30,NAPOLI,ROMA,64',0,0,0,44,0,0,36,0,0,4,0,0,0,0
K.MANOLAS,44,2019-2020,NAPOLI,31,GENOA,NAPOLI,97',0,0,0,76,0,0,64,1,0,17,0,0,0,0
K.MANOLAS,44,2019-2020,NAPOLI,33,BOLOGNA,NAPOLI,95',1,0,1,71,1,0,61,0,0,5,0,0,0,0
K.MANOLAS,44,2019-2020,NAPOLI,34,NAPOLI,UDINESE,99',0,0,0,100,0,0,91,0,2,17,0,0,0,0
K.MANOLAS,44,2019-2020,NAPOLI,36,NAPOLI,SASSUOLO,62',0,0,0,46,0,0,39,0,0,9,0,0,0,0
K.MANOLAS,44,2019-2020,NAPOLI,38,NAPOLI,LAZIO,97',0,0,0,59,0,0,49,3,0,11,0,0,0,0
