Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,KP,FYC,SYC,RC
M.BADELJ,5,2019-2020,FIORENTINA,1,FIORENTINA,NAPOLI,75',0,0,0,47,0,0,40,1,1,3,1,0,0,0
M.BADELJ,5,2019-2020,FIORENTINA,2,GENOA,FIORENTINA,62',0,0,0,42,0,0,23,0,2,4,0,0,0,0
M.BADELJ,5,2019-2020,FIORENTINA,3,FIORENTINA,JUVENTUS,97',0,0,0,63,0,0,50,0,0,5,0,0,0,0
M.BADELJ,5,2019-2020,FIORENTINA,4,ATALANTA,FIORENTINA,99',0,0,0,37,0,0,18,0,3,14,0,0,0,0
M.BADELJ,5,2019-2020,FIORENTINA,5,FIORENTINA,SAMPDORIA,98',0,0,0,69,0,0,50,0,1,14,0,0,0,0
M.BADELJ,5,2019-2020,FIORENTINA,6,MILAN,FIORENTINA,96',0,0,0,74,0,0,62,4,1,16,0,0,0,0
M.BADELJ,5,2019-2020,FIORENTINA,7,FIORENTINA,UDINESE,67',0,0,0,31,0,0,24,0,0,1,0,0,0,0
M.BADELJ,5,2019-2020,FIORENTINA,8,BRESCIA,FIORENTINA,100',0,0,1,60,0,0,43,1,0,5,1,0,0,0
M.BADELJ,5,2019-2020,FIORENTINA,9,FIORENTINA,LAZIO,101',0,0,0,58,0,0,44,0,0,12,0,0,0,0
M.BADELJ,5,2019-2020,FIORENTINA,10,SASSUOLO,FIORENTINA,9',0,0,0,3,0,0,2,0,0,0,0,0,0,0
M.BADELJ,5,2019-2020,FIORENTINA,11,FIORENTINA,PARMA,95',0,0,0,65,0,0,48,1,1,13,1,0,0,0
M.BADELJ,5,2019-2020,FIORENTINA,12,CAGLIARI,FIORENTINA,95',0,0,0,73,1,0,48,0,1,21,0,0,0,0
M.BADELJ,5,2019-2020,FIORENTINA,13,HELLAS VERONA,FIORENTINA,97',0,0,0,65,0,0,39,2,2,11,0,0,0,0
M.BADELJ,5,2019-2020,FIORENTINA,14,FIORENTINA,LECCE,74',0,0,0,56,0,0,51,0,2,4,0,0,0,0
M.BADELJ,5,2019-2020,FIORENTINA,16,FIORENTINA,INTER,69',0,0,1,60,1,0,43,1,0,5,0,1,0,0
M.BADELJ,5,2019-2020,FIORENTINA,17,FIORENTINA,ROMA,98',1,0,1,52,1,0,36,1,0,7,0,0,0,0
M.BADELJ,5,2019-2020,FIORENTINA,23,FIORENTINA,ATALANTA,9',0,0,0,6,0,0,5,0,0,0,0,0,0,0
M.BADELJ,5,2019-2020,FIORENTINA,24,SAMPDORIA,FIORENTINA,45',0,0,0,20,0,0,10,2,1,5,0,0,1,0
M.BADELJ,5,2019-2020,FIORENTINA,26,UDINESE,FIORENTINA,88',0,0,0,68,0,0,44,0,1,7,0,0,0,0
M.BADELJ,5,2019-2020,FIORENTINA,28,LAZIO,FIORENTINA,86',0,0,0,56,0,0,35,0,1,3,0,0,0,0
M.BADELJ,5,2019-2020,FIORENTINA,31,FIORENTINA,CAGLIARI,63',0,0,0,59,0,0,47,0,2,6,0,0,0,0
M.BADELJ,5,2019-2020,FIORENTINA,35,INTER,FIORENTINA,77',0,0,0,24,0,0,16,1,1,3,0,0,0,0
