Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,KP,FYC,SYC,RC
M.CACERES,22,2019-2020,FIORENTINA,3,FIORENTINA,JUVENTUS,97',0,0,0,46,0,0,34,2,0,13,0,1,0,0
M.CACERES,22,2019-2020,FIORENTINA,4,ATALANTA,FIORENTINA,99',0,0,0,53,0,0,41,0,1,8,0,0,0,0
M.CACERES,22,2019-2020,FIORENTINA,5,FIORENTINA,SAMPDORIA,98',0,0,0,71,0,0,58,0,0,12,0,0,0,0
M.CACERES,22,2019-2020,FIORENTINA,6,MILAN,FIORENTINA,96',0,0,0,42,0,0,34,0,0,11,0,0,0,0
M.CACERES,22,2019-2020,FIORENTINA,7,FIORENTINA,UDINESE,97',0,0,0,68,0,0,55,0,0,17,0,0,0,0
M.CACERES,22,2019-2020,FIORENTINA,8,BRESCIA,FIORENTINA,100',0,0,0,59,0,0,42,0,1,25,0,0,0,0
M.CACERES,22,2019-2020,FIORENTINA,9,FIORENTINA,LAZIO,39',0,0,0,28,0,0,22,0,1,4,1,0,0,0
M.CACERES,22,2019-2020,FIORENTINA,12,CAGLIARI,FIORENTINA,95',0,0,0,54,0,0,43,1,1,19,2,0,0,0
M.CACERES,22,2019-2020,FIORENTINA,13,HELLAS VERONA,FIORENTINA,97',0,0,0,44,0,0,28,0,0,10,0,0,0,0
M.CACERES,22,2019-2020,FIORENTINA,14,FIORENTINA,LECCE,96',0,0,0,76,0,0,66,0,0,6,0,0,0,0
M.CACERES,22,2019-2020,FIORENTINA,15,TORINO,FIORENTINA,96',1,0,1,75,1,0,46,2,2,2,0,1,0,0
M.CACERES,22,2019-2020,FIORENTINA,16,FIORENTINA,INTER,99',0,0,0,58,0,0,44,2,3,23,0,0,0,0
M.CACERES,22,2019-2020,FIORENTINA,17,FIORENTINA,ROMA,98',0,0,0,52,0,0,35,3,2,16,0,1,0,0
M.CACERES,22,2019-2020,FIORENTINA,18,BOLOGNA,FIORENTINA,97',0,0,0,21,0,0,10,2,0,14,0,1,0,0
M.CACERES,22,2019-2020,FIORENTINA,19,FIORENTINA,SPAL,95',0,0,0,42,0,0,34,1,0,5,0,0,0,0
M.CACERES,22,2019-2020,FIORENTINA,20,NAPOLI,FIORENTINA,96',0,0,0,27,0,0,16,0,0,6,0,0,0,0
M.CACERES,22,2019-2020,FIORENTINA,21,FIORENTINA,GENOA,97',0,0,0,59,0,0,43,1,3,16,0,1,0,0
M.CACERES,22,2019-2020,FIORENTINA,24,SAMPDORIA,FIORENTINA,95',0,0,0,55,0,0,47,0,1,15,0,0,0,0
M.CACERES,22,2019-2020,FIORENTINA,25,FIORENTINA,MILAN,97',0,0,1,61,1,0,40,2,0,22,0,1,0,0
M.CACERES,22,2019-2020,FIORENTINA,26,UDINESE,FIORENTINA,94',0,0,0,74,0,0,61,0,1,25,0,0,0,0
M.CACERES,22,2019-2020,FIORENTINA,27,FIORENTINA,BRESCIA,71',0,0,0,47,0,0,36,4,0,4,0,0,1,0
M.CACERES,22,2019-2020,FIORENTINA,31,FIORENTINA,CAGLIARI,99',0,0,0,72,0,0,63,0,0,9,0,0,0,0
M.CACERES,22,2019-2020,FIORENTINA,33,LECCE,FIORENTINA,96',0,0,1,58,0,0,46,0,1,4,0,0,0,0
M.CACERES,22,2019-2020,FIORENTINA,34,FIORENTINA,TORINO,99',0,0,0,45,0,0,39,2,0,1,0,0,0,0
M.CACERES,22,2019-2020,FIORENTINA,35,INTER,FIORENTINA,97',0,0,0,36,0,0,21,1,2,5,0,1,0,0
M.CACERES,22,2019-2020,FIORENTINA,36,ROMA,FIORENTINA,100',0,0,0,49,0,0,33,0,1,4,0,1,0,0
M.CACERES,22,2019-2020,FIORENTINA,37,FIORENTINA,BOLOGNA,95',0,0,0,47,0,0,36,1,2,6,0,0,0,0
