Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,KP,FYC,SYC,RC
S.LUKIC,7,2019-2020,TORINO,1,TORINO,SASSUOLO,96',0,0,0,35,0,0,19,2,3,8,0,0,0,0
S.LUKIC,7,2019-2020,TORINO,2,ATALANTA,TORINO,15',0,0,0,3,0,0,0,0,0,2,0,0,0,0
S.LUKIC,7,2019-2020,TORINO,7,TORINO,NAPOLI,86',0,0,0,31,0,0,22,2,1,5,0,1,0,0
S.LUKIC,7,2019-2020,TORINO,8,UDINESE,TORINO,45',0,0,1,22,0,0,18,1,1,5,0,1,0,0
S.LUKIC,7,2019-2020,TORINO,10,LAZIO,TORINO,90',0,0,0,45,0,0,37,2,2,7,0,0,0,0
S.LUKIC,7,2019-2020,TORINO,11,TORINO,JUVENTUS,15',0,0,0,3,0,0,3,2,0,0,0,0,0,0
S.LUKIC,7,2019-2020,TORINO,12,BRESCIA,TORINO,68',0,0,0,31,0,0,24,4,0,3,0,1,0,0
S.LUKIC,7,2019-2020,TORINO,13,TORINO,INTER,95',0,0,0,61,0,0,44,2,3,10,0,0,0,0
S.LUKIC,7,2019-2020,TORINO,14,GENOA,TORINO,97',0,0,0,38,0,0,22,2,0,7,0,0,0,0
S.LUKIC,7,2019-2020,TORINO,16,HELLAS VERONA,TORINO,17',0,0,0,4,0,0,2,1,0,0,0,0,0,0
S.LUKIC,7,2019-2020,TORINO,17,TORINO,SPAL,79',0,0,0,27,0,0,19,2,0,5,0,0,0,0
S.LUKIC,7,2019-2020,TORINO,18,ROMA,TORINO,101',0,0,0,39,1,0,27,2,1,3,0,0,0,0
S.LUKIC,7,2019-2020,TORINO,19,TORINO,BOLOGNA,97',0,0,0,58,0,0,27,1,0,7,0,1,0,0
S.LUKIC,7,2019-2020,TORINO,20,SASSUOLO,TORINO,95',0,0,0,43,0,0,26,1,0,1,0,0,0,0
S.LUKIC,7,2019-2020,TORINO,21,TORINO,ATALANTA,89',0,0,0,52,0,0,39,7,0,7,0,0,0,1
S.LUKIC,7,2019-2020,TORINO,23,TORINO,SAMPDORIA,96',0,0,0,67,0,0,52,2,2,4,0,0,0,0
S.LUKIC,7,2019-2020,TORINO,24,MILAN,TORINO,95',0,0,0,59,0,0,40,3,2,9,0,0,0,0
S.LUKIC,7,2019-2020,TORINO,25,TORINO,PARMA,11',0,0,0,4,0,0,2,0,0,0,0,0,0,0
S.LUKIC,7,2019-2020,TORINO,26,NAPOLI,TORINO,97',0,0,0,52,0,0,39,0,1,11,0,0,0,0
S.LUKIC,7,2019-2020,TORINO,27,TORINO,UDINESE,20',0,0,0,5,0,0,4,0,0,0,0,0,0,0
S.LUKIC,7,2019-2020,TORINO,28,CAGLIARI,TORINO,21',0,0,0,17,0,0,12,0,0,0,0,0,0,0
S.LUKIC,7,2019-2020,TORINO,29,TORINO,LAZIO,83',0,0,0,32,0,0,28,0,0,2,0,0,0,0
S.LUKIC,7,2019-2020,TORINO,30,JUVENTUS,TORINO,100',0,0,0,55,0,0,46,1,1,6,0,0,0,0
S.LUKIC,7,2019-2020,TORINO,31,TORINO,BRESCIA,15',0,0,0,5,0,0,3,0,0,0,0,0,0,0
S.LUKIC,7,2019-2020,TORINO,32,INTER,TORINO,29',0,0,0,21,0,0,17,1,0,2,0,0,0,0
S.LUKIC,7,2019-2020,TORINO,33,TORINO,GENOA,29',1,0,1,6,1,0,1,0,0,0,0,0,0,0
S.LUKIC,7,2019-2020,TORINO,34,FIORENTINA,TORINO,99',0,0,0,53,0,0,46,2,0,1,0,1,0,0
S.LUKIC,7,2019-2020,TORINO,36,SPAL,TORINO,28',0,0,0,13,0,0,12,1,0,0,0,0,0,0
S.LUKIC,7,2019-2020,TORINO,37,TORINO,ROMA,99',0,0,1,59,0,0,43,0,3,2,0,0,0,0
S.LUKIC,7,2019-2020,TORINO,38,BOLOGNA,TORINO,98',0,0,0,34,0,0,22,3,4,6,1,0,0,0
