Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,KP,FYC,SYC,RC
T.RINCON,88,2019-2020,TORINO,1,TORINO,SASSUOLO,96',0,0,0,35,0,0,19,4,3,17,1,0,0,0
T.RINCON,88,2019-2020,TORINO,2,ATALANTA,TORINO,94',0,0,1,52,1,0,27,1,4,16,0,0,0,0
T.RINCON,88,2019-2020,TORINO,3,TORINO,LECCE,103',0,0,0,63,0,0,50,1,1,15,0,0,0,0
T.RINCON,88,2019-2020,TORINO,4,SAMPDORIA,TORINO,97',0,0,0,48,0,0,37,1,3,11,0,0,0,0
T.RINCON,88,2019-2020,TORINO,5,TORINO,MILAN,98',0,0,0,45,0,0,31,0,1,4,1,0,0,0
T.RINCON,88,2019-2020,TORINO,6,PARMA,TORINO,99',0,0,0,61,0,0,43,4,5,2,1,1,0,0
T.RINCON,88,2019-2020,TORINO,7,TORINO,NAPOLI,97',0,0,1,50,2,0,36,2,2,11,1,0,0,0
T.RINCON,88,2019-2020,TORINO,8,UDINESE,TORINO,94',0,0,0,72,0,0,54,4,4,16,0,0,0,0
T.RINCON,88,2019-2020,TORINO,9,TORINO,CAGLIARI,95',0,0,0,40,0,0,25,3,0,8,0,1,0,0
T.RINCON,88,2019-2020,TORINO,11,TORINO,JUVENTUS,76',0,0,1,30,0,0,21,2,2,8,0,1,0,0
T.RINCON,88,2019-2020,TORINO,12,BRESCIA,TORINO,92',0,0,0,61,0,0,50,0,2,3,0,0,0,0
T.RINCON,88,2019-2020,TORINO,14,GENOA,TORINO,97',0,0,0,51,0,0,33,1,1,12,1,0,0,0
T.RINCON,88,2019-2020,TORINO,15,TORINO,FIORENTINA,96',0,0,0,37,0,0,21,2,2,16,0,1,0,0
T.RINCON,88,2019-2020,TORINO,16,HELLAS VERONA,TORINO,97',0,0,0,41,0,0,24,3,5,9,0,0,0,0
T.RINCON,88,2019-2020,TORINO,17,TORINO,SPAL,96',1,0,2,54,1,0,35,2,2,15,1,0,0,0
T.RINCON,88,2019-2020,TORINO,18,ROMA,TORINO,101',0,0,0,33,0,1,19,5,1,8,0,0,0,0
T.RINCON,88,2019-2020,TORINO,20,SASSUOLO,TORINO,79',0,0,0,36,0,0,19,2,1,2,0,1,0,0
T.RINCON,88,2019-2020,TORINO,22,LECCE,TORINO,72',0,0,0,37,0,0,29,1,1,0,0,0,0,0
T.RINCON,88,2019-2020,TORINO,23,TORINO,SAMPDORIA,96',0,0,0,56,0,0,40,5,3,15,0,1,0,0
T.RINCON,88,2019-2020,TORINO,24,MILAN,TORINO,95',0,0,0,51,0,0,38,3,2,14,0,1,0,0
T.RINCON,88,2019-2020,TORINO,25,TORINO,PARMA,93',0,0,1,42,0,0,25,4,2,6,0,1,0,0
T.RINCON,88,2019-2020,TORINO,26,NAPOLI,TORINO,86',0,0,0,36,0,0,30,3,1,4,0,1,0,0
T.RINCON,88,2019-2020,TORINO,27,TORINO,UDINESE,98',0,0,1,41,0,0,23,0,1,10,0,0,0,0
T.RINCON,88,2019-2020,TORINO,28,CAGLIARI,TORINO,80',0,0,0,60,0,0,47,0,0,8,0,0,0,0
T.RINCON,88,2019-2020,TORINO,29,TORINO,LAZIO,98',0,0,0,65,0,0,51,1,1,2,0,0,0,0
T.RINCON,88,2019-2020,TORINO,31,TORINO,BRESCIA,96',0,0,0,75,0,0,51,4,2,11,1,0,0,0
T.RINCON,88,2019-2020,TORINO,32,INTER,TORINO,93',0,0,0,38,0,0,28,0,0,8,0,0,0,0
T.RINCON,88,2019-2020,TORINO,33,TORINO,GENOA,98',0,0,0,49,0,0,34,1,1,11,0,0,0,0
T.RINCON,88,2019-2020,TORINO,34,FIORENTINA,TORINO,16',0,0,0,18,0,0,13,0,0,0,0,0,0,0
T.RINCON,88,2019-2020,TORINO,35,TORINO,HELLAS VERONA,96',0,0,0,43,0,0,26,2,2,8,0,0,0,0
T.RINCON,88,2019-2020,TORINO,36,SPAL,TORINO,69',0,0,0,41,0,1,27,2,0,7,0,1,0,0
T.RINCON,88,2019-2020,TORINO,38,BOLOGNA,TORINO,98',0,0,1,41,0,0,27,2,0,7,0,1,0,0
