Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,KP,FYC,SYC,RC
T.SANABRIA,9,2019-2020,GENOA,1,ROMA,GENOA,3',0,0,0,2,0,0,0,1,0,0,0,0,0,0
T.SANABRIA,9,2019-2020,GENOA,4,CAGLIARI,GENOA,17',0,0,0,8,0,1,6,0,2,1,0,0,0,0
T.SANABRIA,9,2019-2020,GENOA,6,LAZIO,GENOA,92',0,0,2,42,2,0,24,3,1,2,1,1,0,0
T.SANABRIA,9,2019-2020,GENOA,10,JUVENTUS,GENOA,16',0,0,0,6,0,0,3,1,1,1,0,0,0,0
T.SANABRIA,9,2019-2020,GENOA,11,GENOA,UDINESE,25',0,0,0,15,0,0,13,0,0,1,0,0,0,0
T.SANABRIA,9,2019-2020,GENOA,16,GENOA,SAMPDORIA,98',0,0,0,36,0,0,14,0,4,3,0,0,0,0
T.SANABRIA,9,2019-2020,GENOA,17,INTER,GENOA,76',0,0,2,30,1,0,21,0,2,0,0,0,0,0
T.SANABRIA,9,2019-2020,GENOA,18,GENOA,SASSUOLO,69',0,0,0,20,1,0,11,1,2,4,0,1,0,0
T.SANABRIA,9,2019-2020,GENOA,19,HELLAS VERONA,GENOA,75',1,0,2,22,2,0,5,2,2,3,0,0,0,0
T.SANABRIA,9,2019-2020,GENOA,20,GENOA,ROMA,86',0,0,0,28,1,0,12,0,4,10,0,0,0,0
T.SANABRIA,9,2019-2020,GENOA,21,FIORENTINA,GENOA,34',0,0,0,11,0,0,9,0,0,0,0,0,0,0
T.SANABRIA,9,2019-2020,GENOA,22,ATALANTA,GENOA,85',1,0,3,30,1,0,16,0,0,7,1,0,0,0
T.SANABRIA,9,2019-2020,GENOA,23,GENOA,CAGLIARI,98',0,0,1,34,3,0,18,0,1,12,0,0,0,0
T.SANABRIA,9,2019-2020,GENOA,24,BOLOGNA,GENOA,96',1,0,2,28,2,0,16,2,0,6,0,0,0,0
T.SANABRIA,9,2019-2020,GENOA,25,GENOA,LAZIO,74',0,0,1,24,0,0,16,1,0,4,0,0,0,0
T.SANABRIA,9,2019-2020,GENOA,26,MILAN,GENOA,96',0,0,1,44,0,1,27,4,2,6,0,0,0,0
T.SANABRIA,9,2019-2020,GENOA,28,BRESCIA,GENOA,38',0,0,1,19,0,0,5,0,0,8,1,0,0,0
T.SANABRIA,9,2019-2020,GENOA,29,GENOA,JUVENTUS,49',0,0,1,22,0,0,13,1,2,6,0,0,0,0
T.SANABRIA,9,2019-2020,GENOA,30,UDINESE,GENOA,79',0,0,0,19,0,0,9,1,0,4,0,0,0,0
T.SANABRIA,9,2019-2020,GENOA,31,GENOA,NAPOLI,73',0,0,0,19,0,0,5,2,0,4,1,0,0,0
T.SANABRIA,9,2019-2020,GENOA,32,GENOA,SPAL,23',0,0,0,12,0,0,5,0,1,0,1,0,0,0
T.SANABRIA,9,2019-2020,GENOA,33,TORINO,GENOA,62',0,0,1,17,0,0,4,0,1,2,0,0,0,0
T.SANABRIA,9,2019-2020,GENOA,34,GENOA,LECCE,51',1,0,1,19,1,0,13,1,1,2,0,0,0,0
T.SANABRIA,9,2019-2020,GENOA,38,GENOA,HELLAS VERONA,69',2,0,2,29,2,0,15,2,1,2,0,1,0,0
