Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,KP,FYC,SYC,RC
Z.IBRAHIMOVIC,21,2019-2020,MILAN,18,MILAN,SAMPDORIA,39',0,0,2,16,1,0,7,0,0,8,1,0,0,0
Z.IBRAHIMOVIC,21,2019-2020,MILAN,19,CAGLIARI,MILAN,96',1,0,2,48,2,0,25,4,1,4,0,0,0,0
Z.IBRAHIMOVIC,21,2019-2020,MILAN,20,MILAN,UDINESE,94',0,0,2,38,3,0,14,5,1,8,1,1,0,0
Z.IBRAHIMOVIC,21,2019-2020,MILAN,21,BRESCIA,MILAN,94',0,0,1,53,2,0,28,1,0,12,0,0,0,0
Z.IBRAHIMOVIC,21,2019-2020,MILAN,23,INTER,MILAN,97',1,0,2,35,2,1,18,2,0,4,0,0,0,0
Z.IBRAHIMOVIC,21,2019-2020,MILAN,24,MILAN,TORINO,95',0,0,1,0,1,0,0,0,3,0,0,0,0,0
Z.IBRAHIMOVIC,21,2019-2020,MILAN,25,FIORENTINA,MILAN,97',0,0,0,46,0,0,30,2,2,23,0,0,0,0
Z.IBRAHIMOVIC,21,2019-2020,MILAN,26,MILAN,GENOA,96',1,0,2,68,4,0,38,0,2,8,1,0,0,0
Z.IBRAHIMOVIC,21,2019-2020,MILAN,29,SPAL,MILAN,31',0,0,0,8,0,0,2,1,0,2,0,0,0,0
Z.IBRAHIMOVIC,21,2019-2020,MILAN,30,LAZIO,MILAN,47',1,0,1,26,1,1,17,0,0,3,0,0,0,0
Z.IBRAHIMOVIC,21,2019-2020,MILAN,31,MILAN,JUVENTUS,69',1,0,3,30,2,1,17,1,1,4,0,0,0,0
Z.IBRAHIMOVIC,21,2019-2020,MILAN,32,NAPOLI,MILAN,63',0,0,1,32,0,0,24,1,1,4,0,0,0,0
Z.IBRAHIMOVIC,21,2019-2020,MILAN,33,MILAN,PARMA,99',0,0,1,55,2,0,31,3,0,14,1,0,0,0
Z.IBRAHIMOVIC,21,2019-2020,MILAN,34,MILAN,BOLOGNA,64',0,0,0,43,0,1,22,2,0,10,1,0,0,0
Z.IBRAHIMOVIC,21,2019-2020,MILAN,35,SASSUOLO,MILAN,99',2,0,3,51,4,0,20,3,2,6,0,0,0,0
Z.IBRAHIMOVIC,21,2019-2020,MILAN,36,MILAN,ATALANTA,94',0,0,0,52,0,0,25,1,2,30,0,0,0,0
Z.IBRAHIMOVIC,21,2019-2020,MILAN,37,SAMPDORIA,MILAN,85',2,0,3,55,3,1,39,2,1,6,1,0,0,0
Z.IBRAHIMOVIC,21,2019-2020,MILAN,38,MILAN,CAGLIARI,95',1,0,3,71,3,0,40,2,0,6,1,0,0,0
